ECG_P_Peaks,ECG_P_Onsets,ECG_P_Offsets,ECG_Q_Peaks,ECG_R_Onsets,ECG_R_Offsets,ECG_S_Peaks,ECG_T_Peaks,ECG_T_Onsets,ECG_T_Offsets
-27,-29,-21,-4,-10,13.0,7,59.0,57.0,63.0
-27,-29,-24,-5,-10,10.0,5,39.0,34.0,43.0
-31,-33,-27,-6,-10,16.0,6,29.0,24.0,34.0
-29,-34,-25,-5,-11,16.0,8,28.0,25.0,35.0
-28,-33,-21,-4,-11,11.0,9,56.0,51.0,58.0
-33,-37,-30,-4,-7,8.0,7,47.0,44.0,49.0
-32,-35,-26,-6,-4,16.0,5,58.0,54.0,60.0
-30,-35,-26,-5,-10,10.0,5,41.0,39.0,44.0
-30,-38,-26,-5,-10,15.0,8,54.0,46.0,62.0
-29,-34,-26,-5,-10,17.0,8,55.0,51.0,61.0
-29,-33,-25,-4,-12,18.0,8,53.0,46.0,58.0
-30,-38,-27,-4,-16,16.0,8,53.0,46.0,54.0
-31,-34,-27,-7,-10,15.0,8,56.0,51.0,63.0
-29,-34,-23,-6,-10,16.0,8,53.0,51.0,58.0
-29,-37,-25,-7,-11,15.0,5,56.0,51.0,66.0
-28,-34,-24,-4,-9,17.0,9,53.0,36.0,56.0
-28,-34,-24,-5,-9,15.0,5,56.0,53.0,58.0
-29,-35,-26,-7,-16,16.0,8,54.0,52.0,60.0
-29,-34,-23,-6,-10,16.0,7,27.0,23.0,31.0
-28,-32,-22,-6,-10,14.0,7,54.0,48.0,60.0
-27,-30,-23,-4,-8,16.0,9,55.0,46.0,57.0
-28,-34,-24,-5,-9,15.0,8,27.0,21.0,31.0
-29,-33,-23,-6,-10,14.0,5,54.0,51.0,56.0
-32,-35,-27,-7,-11,14.0,7,55.0,45.0,56.0
-28,-33,-22,-6,-10,15.0,5,55.0,53.0,69.0
-28,-34,-24,-6,-11,15.0,7,54.0,48.0,68.0
-28,-32,-23,-5,-9,15.0,7,21.0,6.0,25.0
-28,-35,-23,-10,-8,14.0,7,53.0,50.0,65.0
-27,-41,-23,-4,-9,16.0,6,55.0,53.0,72.0
-27,-32,-24,-5,-7,15.0,8,52.0,47.0,53.0
-29,-32,-26,-4,-7,15.0,7,55.0,53.0,58.0
-28,-40,-24,-3,-10,14.0,8,52.0,50.0,57.0
-29,-33,-22,-4,-9,17.0,8,55.0,48.0,70.0
-30,-35,-28,-5,-10,17.0,8,57.0,55.0,69.0
-27,-30,-23,-5,-10,16.0,8,53.0,48.0,65.0
-26,-34,-23,-4,-7,12.0,9,59.0,51.0,72.0
-28,-32,-25,-5,-9,11.0,7,54.0,53.0,58.0
-29,-32,-25,-4,-10,9.0,7,52.0,46.0,55.0
-27,-30,-24,-6,-10,14.0,5,55.0,52.0,74.0
-31,-35,-29,-4,-10,16.0,9,49.0,46.0,52.0
-27,-31,-24,-4,-9,17.0,8,57.0,52.0,63.0
-30,-33,-25,-6,-12,15.0,8,22.0,18.0,27.0
-30,-37,-27,-6,-10,11.0,8,34.0,28.0,36.0
-29,-32,-24,-5,-9,17.0,8,19.0,8.0,21.0
-29,-33,-24,-6,-10,16.0,9,54.0,51.0,58.0
-27,-34,-24,-4,-9,18.0,8,56.0,53.0,58.0
-28,-32,-24,-5,-9,17.0,9,54.0,49.0,59.0
-29,-31,-25,-5,-10,16.0,8,52.0,43.0,60.0
-28,-30,-24,-5,-9,17.0,9,53.0,51.0,71.0
-28,-36,-25,-4,-9,18.0,8,53.0,48.0,55.0
-28,-33,-23,-5,-10,16.0,5,27.0,24.0,31.0
-30,-33,-22,-5,-10,11.0,5,52.0,45.0,56.0
-29,-32,-25,-4,-9,17.0,6,53.0,49.0,59.0
-28,-36,-23,-4,-9,15.0,9,52.0,45.0,55.0
-31,-37,-22,-5,-9,17.0,7,41.0,34.0,45.0
-28,-35,-25,-4,-8,16.0,8,49.0,46.0,51.0
-32,-35,-29,-5,-10,16.0,7,54.0,50.0,57.0
-30,-32,-28,-4,-8,7.0,6,55.0,51.0,69.0
-29,-33,-28,-6,-9,17.0,8,54.0,50.0,58.0
-26,-28,-23,-4,-7,16.0,10,54.0,46.0,72.0
-27,-32,-22,-5,-9,19.0,9,55.0,52.0,56.0
-29,-34,-24,-6,-10,16.0,8,52.0,51.0,59.0
-29,-36,-23,-5,-9,11.0,8,53.0,46.0,68.0
-26,-31,-18,-5,-9,17.0,8,52.0,47.0,59.0
-30,-35,-25,-5,-9,11.0,8,21.0,7.0,26.0
-28,-31,-24,-6,-13,10.0,7,53.0,44.0,57.0
-30,-34,-26,-5,-11,17.0,8,53.0,52.0,58.0
-31,-37,-22,-8,-11,13.0,8,53.0,41.0,55.0
-28,-29,-23,-5,-9,17.0,8,57.0,55.0,62.0
-28,-30,-25,-5,-8,17.0,7,25.0,20.0,27.0
-31,-39,-26,-6,-13,16.0,8,54.0,50.0,59.0
-29,-34,-24,-5,-7,16.0,8,55.0,52.0,70.0
-29,-35,-26,-5,-9,17.0,5,52.0,47.0,58.0
-30,-35,-25,-6,-9,15.0,7,52.0,50.0,69.0
-31,-35,-24,-5,-8,16.0,7,54.0,50.0,60.0
-30,-35,-24,-4,-7,12.0,7,29.0,25.0,33.0
-28,-30,-24,-5,-9,16.0,8,53.0,48.0,58.0
-29,-36,-24,-6,-10,16.0,4,28.0,24.0,31.0
-27,-30,-25,-5,-11,16.0,5,51.0,39.0,54.0
-32,-36,-22,-6,-9,17.0,8,52.0,49.0,55.0
-32,-37,-25,-5,-10,16.0,7,55.0,53.0,64.0
-29,-32,-26,-5,-8,16.0,5,51.0,42.0,57.0
-29,-34,-24,-6,-10,11.0,5,20.0,12.0,23.0
-30,-33,-26,-4,-8,18.0,5,54.0,52.0,54.0
-28,-30,-25,-5,-9,11.0,8,54.0,50.0,56.0
-29,-33,-24,-4,-8,18.0,6,53.0,45.0,61.0
-29,-30,-24,-5,-9,17.0,7,52.0,49.0,68.0
-27,-30,-23,-5,-8,16.0,8,51.0,46.0,68.0
-28,-30,-23,-5,-9,16.0,8,50.0,39.0,63.0
-29,-33,-24,-5,-8,17.0,8,53.0,50.0,68.0
-29,-37,-25,-5,-8,16.0,7,51.0,46.0,68.0
-32,-39,-28,-5,-12,12.0,8,26.0,22.0,27.0
-29,-37,-25,-4,-8,16.0,6,54.0,49.0,58.0
-30,-37,-24,-6,-9,10.0,6,52.0,49.0,70.0
-30,-36,-26,-6,-9,16.0,8,52.0,37.0,67.0
-30,-35,-26,-6,-9,16.0,7,48.0,41.0,50.0
-31,-34,-22,-6,-9,19.0,6,50.0,47.0,52.0
-32,-38,-27,-6,-10,17.0,8,53.0,50.0,58.0
-30,-38,-26,-5,-9,16.0,7,53.0,50.0,54.0
-28,-31,-25,-5,-9,18.0,9,55.0,50.0,72.0
-29,-34,-23,-4,-8,20.0,8,52.0,34.0,64.0
-30,-35,-25,-6,-10,19.0,8,25.0,23.0,29.0
-30,-38,-24,-6,-8,17.0,6,55.0,51.0,56.0
-30,-31,-26,-6,-9,9.0,5,28.0,26.0,31.0
-27,-30,-22,-5,-8,11.0,8,49.0,46.0,52.0
-20,-23,-14,-4,-8,10.0,7,55.0,51.0,64.0
-32,-34,-27,-4,-9,10.0,5,55.0,52.0,59.0
-30,-34,-24,-5,-10,,7,,,
