ECG_P_Peaks,ECG_P_Onsets,ECG_P_Offsets,ECG_Q_Peaks,ECG_R_Onsets,ECG_R_Offsets,ECG_S_Peaks,ECG_T_Peaks,ECG_T_Onsets,ECG_T_Offsets
-37,-44,-21,-6,-12,16,9,74,60,96
-36,-44,-23,-5,-36,16,9,73,48,95
-37,-45,-22,-7,-15,16,8,73,48,99
-38,-46,-20,-6,-13,16,8,72,53,76
-37,-44,-22,-5,-17,17,9,74,51,92
-38,-46,-15,-6,-37,17,9,75,9,96
-37,-46,-23,-6,-19,17,8,74,41,100
-36,-44,-19,-5,-35,17,9,72,59,99
-69,-91,-41,-31,-19,14,9,70,48,89
-34,-41,-20,-6,-31,18,9,76,42,103
-37,-44,-20,-6,-13,16,9,73,61,108
-54,-59,-53,-6,-11,17,8,73,53,92
-36,-45,-22,-6,-15,17,9,74,61,95
-37,-45,-18,-6,-13,16,8,74,56,97
-37,-44,-23,-6,-18,16,8,74,49,95
-37,-45,-18,-6,-37,17,9,75,58,103
-56,-62,-53,-7,-36,16,10,75,45,99
-58,-66,-54,-6,-18,17,9,74,51,96
-37,-46,-18,-6,-37,16,8,75,49,96
-37,-45,-14,-6,-36,15,9,74,64,102
-37,-45,-23,-6,-15,15,8,73,49,97
-36,-45,-18,-6,-13,15,8,76,48,96
-67,-97,-48,-23,-15,15,8,71,57,89
-57,-62,-52,-9,-30,18,9,76,68,106
-47,-56,-45,-5,-34,17,9,73,51,100
-38,-46,-21,-6,-20,16,8,72,60,100
-68,-89,-38,-26,-17,14,9,70,43,89
-33,-43,-21,-6,-33,16,9,72,52,76
-49,-54,-46,-6,-13,17,9,74,62,94
-37,-45,-21,-6,-37,16,8,75,44,97
-37,-45,-23,-6,-12,16,8,74,47,101
-53,-59,-50,-6,-17,17,9,75,58,98
-37,-44,-16,-7,-13,16,10,75,62,98
-36,-44,-17,-6,-12,16,8,74,47,77
-36,-43,-21,-6,-36,17,11,75,56,97
-36,-44,-20,-6,-11,17,9,75,48,99
-37,-46,-18,-6,-13,17,8,74,62,101
-57,-62,-54,-6,-12,18,8,74,47,98
-37,-45,-20,-6,-17,16,8,74,32,102
-37,-44,-20,-6,-15,17,11,75,55,108
-47,-55,-45,-6,-18,16,8,75,52,98
-56,-63,-53,-6,-12,18,9,76,56,99
-37,-45,-17,-6,-11,18,8,74,44,104
-36,-44,-22,-6,-16,17,8,74,48,100
-36,-43,-20,-6,-18,18,9,75,63,100
-36,-44,-22,-7,-36,16,8,74,66,103
-35,-43,-23,-6,-35,18,8,75,50,96
-36,-45,-21,-6,-36,17,9,74,62,100
-67,-84,-39,-22,-13,15,9,71,58,89
-34,-42,-21,-6,-33,17,8,72,44,81
-58,-63,-53,-6,-34,18,8,73,46,102
-46,-52,-44,-6,-11,18,9,76,52,104
-36,-43,-21,-6,-11,16,11,76,55,99
-35,-44,-17,-5,-10,18,9,76,47,97
-36,-45,-22,-6,-13,17,9,77,46,98
-36,-44,-20,-6,-36,18,11,77,31,99
-35,-44,-22,-5,-35,18,8,75,51,99
-35,-43,-19,-6,-13,17,9,77,51,101
