ECG_P_Peaks,ECG_P_Onsets,ECG_P_Offsets,ECG_Q_Peaks,ECG_R_Onsets,ECG_R_Offsets,ECG_S_Peaks,ECG_T_Peaks,ECG_T_Onsets,ECG_T_Offsets
-38,-41,-31,-3,-12,10.0,4,22.0,20.0,26.0
-38,-42,-32,-4,-13,7.0,5,19.0,16.0,20.0
-38,-42,-32,-5,-13,6.0,4,23.0,20.0,24.0
-37,-41,-30,-4,-12,7.0,4,19.0,17.0,21.0
-37,-41,-30,-4,-12,7.0,3,17.0,11.0,21.0
-37,-41,-30,-3,-13,8.0,4,24.0,22.0,26.0
-37,-50,-30,-3,-8,9.0,4,20.0,17.0,26.0
-37,-43,-33,-5,-11,6.0,4,23.0,19.0,29.0
-37,-44,-33,-4,-11,6.0,4,19.0,12.0,23.0
-36,-39,-32,-4,-11,6.0,4,19.0,12.0,23.0
-37,-40,-33,-4,-12,6.0,4,19.0,17.0,22.0
-38,-42,-31,-3,-13,8.0,4,27.0,21.0,30.0
-40,-43,-38,-4,-11,6.0,4,17.0,8.0,19.0
-37,-39,-29,-7,-11,7.0,4,18.0,12.0,22.0
-37,-39,-29,-3,-12,8.0,4,20.0,17.0,22.0
-40,-44,-39,-6,-14,6.0,4,18.0,10.0,23.0
-37,-40,-30,-4,-13,8.0,4,21.0,16.0,27.0
-38,-40,-30,-4,-13,9.0,3,20.0,17.0,22.0
-37,-39,-29,-7,-11,6.0,4,25.0,23.0,28.0
-37,-52,-32,-4,-13,7.0,4,18.0,10.0,20.0
-42,-46,-41,-4,-13,8.0,4,22.0,17.0,26.0
-38,-40,-30,-4,-8,8.0,4,26.0,22.0,31.0
-39,-43,-32,-4,-9,7.0,4,21.0,20.0,25.0
-42,-51,-40,-4,-12,8.0,5,19.0,16.0,21.0
-37,-41,-29,-8,-12,7.0,4,18.0,12.0,21.0
-37,-41,-30,-4,-8,7.0,4,23.0,21.0,26.0
-37,-40,-30,-4,-12,8.0,4,19.0,17.0,21.0
-37,-39,-33,-7,-12,6.0,4,27.0,23.0,33.0
-39,-52,-30,-4,-13,8.0,4,24.0,20.0,30.0
-40,-43,-37,-5,-14,6.0,4,23.0,20.0,25.0
-47,-49,-44,-2,-7,,70,,,
-40,-44,-39,-4,-11,6.0,4,20.0,12.0,23.0
-37,-53,-32,-4,-13,7.0,4,18.0,9.0,19.0
-39,-47,-31,-4,-13,7.0,4,23.0,20.0,25.0
-39,-43,-26,-5,-13,7.0,4,17.0,11.0,19.0
-37,-40,-29,-4,-11,8.0,4,24.0,22.0,27.0
-44,-52,-43,-4,-13,7.0,5,19.0,11.0,25.0
-37,-40,-30,-4,-8,8.0,4,22.0,21.0,26.0
-38,-51,-29,-4,-12,9.0,4,24.0,22.0,27.0
-37,-42,-32,-5,-13,6.0,4,17.0,15.0,20.0
-41,-44,-38,-4,-12,6.0,3,24.0,19.0,29.0
-38,-42,-31,-4,-13,7.0,5,22.0,21.0,25.0
-37,-41,-31,-4,-7,7.0,4,22.0,17.0,27.0
-39,-43,-38,-5,-13,6.0,4,26.0,24.0,29.0
-40,-43,-38,-3,-11,7.0,4,18.0,12.0,23.0
-37,-39,-33,-8,-11,6.0,4,21.0,18.0,22.0
-38,-48,-31,-4,-12,7.0,5,24.0,20.0,30.0
-40,-49,-38,-4,-11,7.0,4,18.0,12.0,22.0
-39,-43,-27,-5,-13,6.0,4,22.0,20.0,25.0
-43,-51,-42,-4,-13,7.0,4,23.0,21.0,26.0
-39,-42,-36,-4,-8,8.0,4,20.0,4.0,21.0
-38,-42,-33,-4,-8,8.0,4,26.0,21.0,31.0
-44,-51,-43,-4,-13,7.0,4,18.0,11.0,20.0
-37,-41,-31,-4,-12,8.0,5,24.0,21.0,26.0
-39,-43,-27,-4,-12,7.0,4,21.0,20.0,25.0
-38,-43,-31,-4,-13,7.0,5,18.0,11.0,20.0
-41,-45,-40,-4,-11,7.0,4,19.0,18.0,22.0
-40,-43,-38,-3,-11,7.0,4,27.0,24.0,28.0
-41,-45,-39,-4,-12,10.0,4,22.0,18.0,23.0
-40,-43,-37,-5,-14,6.0,4,18.0,11.0,24.0
-37,-41,-30,-4,-12,7.0,4,19.0,17.0,21.0
-37,-39,-33,-7,-11,7.0,4,24.0,22.0,27.0
-41,-45,-39,-4,-12,10.0,4,23.0,18.0,27.0
-38,-42,-30,-4,-12,8.0,5,23.0,21.0,26.0
-40,-44,-38,-6,-11,6.0,4,21.0,19.0,24.0
