ECG_P_Peaks,ECG_P_Onsets,ECG_P_Offsets,ECG_Q_Peaks,ECG_R_Onsets,ECG_R_Offsets,ECG_S_Peaks,ECG_T_Peaks,ECG_T_Onsets,ECG_T_Offsets
-50,-59,-38,-9,-18,4,27,33,27,39
-76,-80,-63,-3,-27,4,27,33,27,38
-68,-77,-64,-4,-24,16,27,33,27,39
-52,-60,-39,-3,-21,15,27,33,27,38
-70,-83,-63,-8,-15,33,29,35,28,40
-58,-62,-49,-20,-15,21,28,34,28,39
-35,-46,-21,-7,-17,7,5,98,52,117
-69,-82,-63,-3,-29,15,27,33,27,38
-56,-60,-53,-20,-28,4,27,33,26,38
-59,-65,-56,-4,-25,20,4,33,26,38
-83,-97,-51,-4,-18,4,27,33,27,39
-57,-61,-51,-14,-18,18,27,33,27,38
-70,-79,-61,-3,-31,19,28,34,28,39
-56,-66,-50,-9,-25,4,27,34,27,39
-55,-58,-49,-7,-34,8,5,96,87,110
-64,-68,-58,-10,-21,16,5,34,28,40
-69,-75,-62,-3,-21,4,28,34,27,39
-62,-67,-58,-7,-32,9,5,96,61,117
-72,-75,-60,-6,-12,8,6,96,84,122
-87,-95,-83,-51,-16,1,10,37,26,53
-61,-67,-54,-17,-24,22,28,34,28,40
-49,-58,-20,-11,-15,22,27,33,27,39
-75,-77,-61,-25,-20,21,27,34,27,39
-63,-68,-61,-8,-20,5,28,34,28,40
-75,-79,-60,-4,-30,16,27,33,27,38
-34,-46,-19,-7,-34,8,5,96,70,120
-65,-69,-60,-9,-20,5,28,34,28,39
-67,-82,-60,-14,-19,5,27,34,27,39
-62,-70,-58,-28,-22,31,27,33,27,38
-70,-78,-62,-3,-15,32,27,34,27,39
-114,-121,-108,-21,-12,21,6,34,27,47
-69,-81,-64,-32,-17,5,26,33,27,38
-65,-68,-57,-3,-15,16,27,34,27,39
-58,-83,-52,-51,-6,27,16,42,32,67
-62,-70,-57,-4,-40,20,26,33,26,38
-70,-77,-62,-4,-17,31,24,33,26,38
-59,-62,-52,-13,-21,33,28,34,28,39
-64,-72,-58,-19,-15,18,27,33,27,38
-120,-127,-115,-28,-18,13,4,35,29,60
-53,-59,-47,-3,-24,5,27,34,28,39
-72,-80,-66,-9,-26,34,27,34,28,39
-69,-75,-64,-18,-31,4,28,34,28,40
-63,-73,-52,-2,-5,16,28,34,28,40
-36,-47,-24,-4,-5,33,5,34,28,39
-54,-62,-51,-97,-16,6,28,34,28,40
-80,-86,-67,-4,-23,20,27,34,27,39
-60,-66,-54,-52,-21,19,27,34,27,39
-81,-85,-75,-18,-28,5,26,34,28,39
-49,-59,-38,-9,-33,16,28,35,28,40
-62,-66,-59,-31,-9,9,3,49,43,54
-33,-46,-21,-6,-11,9,6,102,93,115
-69,-74,-64,-7,-33,8,5,96,50,110
