ECG_P_Peaks,ECG_P_Onsets,ECG_P_Offsets,ECG_Q_Peaks,ECG_R_Onsets,ECG_R_Offsets,ECG_S_Peaks,ECG_T_Peaks,ECG_T_Onsets,ECG_T_Offsets
-31,-34,-21,-6,-12,16,11,42,37,43
-38,-43,-36,-6,-12,13,10,19,10,25
-43,-45,-41,-17,-14,18,12,76,71,100
-38,-44,-36,-7,-12,16,10,38,37,43
-42,-45,-38,-43,-13,18,15,78,57,99
-34,-40,-22,-8,-15,14,9,33,28,38
-34,-41,-33,-17,-7,10,8,20,14,22
-39,-52,-37,-8,-15,15,9,20,8,26
-39,-47,-36,-7,-14,17,10,45,41,47
-32,-36,-21,-6,-13,13,10,28,26,32
-33,-38,-24,-9,-14,11,9,31,27,36
-34,-38,-22,-8,-16,11,9,40,33,43
-40,-44,-37,-7,-13,16,10,40,35,45
-41,-46,-40,-45,-15,19,14,78,57,95
-37,-40,-35,-6,-13,14,11,31,29,36
-43,-46,-41,-9,-16,13,65,29,27,33
-38,-43,-36,-9,-14,13,9,29,24,35
-33,-37,-22,-8,-13,11,9,41,37,44
-38,-44,-36,-6,-12,18,10,21,10,25
-39,-49,-37,-8,-13,12,10,44,41,51
-35,-38,-25,-10,-15,10,8,22,21,26
-31,-34,-21,-7,-12,12,10,26,22,31
-44,-46,-40,-11,-14,20,12,78,49,80
-33,-36,-22,-7,-13,10,14,34,27,39
-56,-59,-53,-7,-11,23,16,76,67,81
-24,-26,-21,-5,-8,8,19,27,23,31
-27,-31,-24,-12,-21,12,4,45,41,47
-39,-42,-36,-6,-14,10,15,22,20,27
-42,-45,-39,-7,-4,3,15,78,77,83
-33,-36,-22,-7,-15,13,23,24,22,28
-25,-32,-24,-8,-17,2,14,73,72,77
-42,-46,-36,-7,-12,17,11,38,33,40
-37,-42,-35,-6,-14,12,10,26,21,29
-38,-49,-35,-6,-12,15,11,32,29,37
-40,-44,-37,-8,-17,16,9,40,37,42
-34,-38,-24,-9,-14,12,9,22,17,26
-39,-41,-37,-6,-13,19,2,20,11,23
-36,-44,-34,-10,-19,12,7,55,49,77
-30,-34,-26,-7,-12,13,11,35,31,39
-43,-46,-34,-12,-18,20,12,76,72,95
-53,-58,-34,-2,-6,5,4,58,53,60
-30,-42,-21,-7,-12,13,10,48,43,54
-41,-45,-39,-10,-13,20,12,75,57,104
-37,-51,-35,-6,-12,15,11,29,23,31
-38,-40,-35,-14,-12,21,12,78,73,99
-38,-42,-35,-7,-12,13,11,38,36,42
-36,-39,-34,-10,-19,12,7,56,54,65
-34,-38,-20,-8,-14,13,10,35,32,37
-46,-48,-42,-9,-12,21,14,79,54,83
-33,-36,-21,-8,-13,14,9,17,10,21
-38,-41,-35,-25,-11,4,16,82,80,85
-33,-38,-23,-8,-14,20,8,22,16,29
-40,-44,-37,-8,-14,10,8,33,30,36
-33,-36,-29,-7,-14,11,9,28,26,32
-33,-36,-22,-7,-13,16,13,24,20,26
-34,-38,-32,-7,-13,13,9,18,16,22
-40,-47,-36,-8,-14,10,8,24,21,28
-44,-47,-41,-13,-17,19,13,77,75,104
-32,-36,-30,-8,-15,13,9,52,48,56
-44,-47,-40,-9,-5,3,9,55,38,85
-39,-44,-37,-10,-15,11,15,25,17,30
-41,-43,-37,-15,-19,20,13,77,59,104
-32,-35,-22,-7,-13,11,9,19,13,22
-44,-45,-41,-16,-13,20,13,78,61,105
-33,-36,-21,-7,-13,12,10,26,22,28
-41,-44,-39,-32,-11,20,14,79,75,97
-38,-48,-36,-7,-13,11,13,35,33,38
-39,-42,-35,-24,-9,21,15,82,59,110
-36,-38,-33,-6,-5,6,4,55,49,61
-39,-42,-38,-11,-15,12,9,33,30,39
-39,-48,-37,-7,-15,11,67,19,14,23
-32,-37,-24,-8,-13,14,10,42,40,46
-40,-45,-37,-7,-14,11,9,28,21,33
-40,-44,-37,-6,-13,16,12,20,17,24
-33,-36,-22,-8,-14,12,10,28,21,34
-39,-48,-37,-8,-13,13,9,20,16,22
-36,-38,-33,-9,-12,21,13,47,29,50
