ECG_P_Peaks,ECG_P_Onsets,ECG_P_Offsets,ECG_Q_Peaks,ECG_R_Onsets,ECG_R_Offsets,ECG_S_Peaks,ECG_T_Peaks,ECG_T_Onsets,ECG_T_Offsets
-39,-41,-37,-7.0,-11,18.0,21,77.0,72.0,85.0
-36,-39,-33,-7.0,-11,20.0,20,77.0,58.0,86.0
-35,-38,-33,-7.0,-11,11.0,19,77.0,70.0,85.0
-39,-42,-36,-7.0,-11,23.0,20,77.0,72.0,83.0
-41,-43,-38,-7.0,-12,,24,,,
-44,-47,-42,-7.0,-11,17.0,21,79.0,72.0,83.0
-39,-43,-37,,-12,16.0,20,77.0,63.0,82.0
-43,-45,-40,-7.0,-12,20.0,18,77.0,68.0,100.0
-36,-39,-35,-7.0,-11,24.0,21,76.0,68.0,84.0
-39,-43,-37,-7.0,-12,22.0,19,80.0,53.0,94.0
-41,-42,-38,-7.0,-11,11.0,18,79.0,75.0,96.0
-41,-43,-39,,-11,,20,,,
-33,-36,-29,-7.0,-11,,21,,,
-40,-42,-37,-7.0,-11,16.0,30,83.0,76.0,88.0
-40,-43,-39,-7.0,-11,11.0,20,80.0,76.0,83.0
-40,-43,-38,-7.0,-11,21.0,24,79.0,55.0,81.0
-42,-44,-40,,-11,17.0,33,81.0,71.0,97.0
-39,-42,-37,-8.0,-12,21.0,25,80.0,51.0,95.0
-40,-43,-38,-8.0,-12,15.0,24,81.0,69.0,96.0
-38,-41,-37,-7.0,-11,27.0,22,82.0,56.0,97.0
-38,-41,-35,,-12,17.0,21,78.0,53.0,81.0
-38,-41,-36,,-12,18.0,21,79.0,68.0,98.0
-32,-41,-30,-7.0,-11,19.0,28,82.0,80.0,97.0
-36,-39,-34,-7.0,-11,18.0,24,84.0,82.0,106.0
-25,-30,-23,-7.0,-11,16.0,20,82.0,77.0,99.0
-41,-44,-39,,-11,19.0,23,79.0,48.0,83.0
-36,-41,-34,,-11,18.0,17,84.0,72.0,99.0
-39,-44,-37,-7.0,-11,18.0,24,84.0,72.0,98.0
-35,-37,-33,-7.0,-11,16.0,24,85.0,84.0,103.0
-42,-45,-40,-8.0,-11,,22,,,
-41,-43,-39,,-11,21.0,25,77.0,67.0,81.0
-44,-47,-41,,-11,,30,,,
-28,-33,-25,-7.0,-11,,16,,,
-60,-65,-59,-7.0,-11,19.0,17,77.0,68.0,81.0
-40,-43,-38,,-10,,23,,,
-44,-46,-41,,-12,,23,,,
-37,-44,-34,-7.0,-11,19.0,25,86.0,84.0,105.0
-38,-41,-37,-7.0,-11,,24,,,
-39,-42,-37,-7.0,-11,,20,,,
-42,-45,-41,-7.0,-10,,17,,,
-35,-38,-33,-7.0,-11,,19,,,
-42,-44,-40,-7.0,-11,,17,,,
-39,-41,-37,-7.0,-11,17.0,20,85.0,83.0,89.0
-35,-37,-33,-7.0,-11,20.0,24,83.0,78.0,107.0
-40,-43,-37,-7.0,-11,11.0,24,82.0,50.0,102.0
-36,-39,-34,-7.0,-11,20.0,27,82.0,73.0,97.0
-30,-34,-28,-7.0,-11,20.0,24,78.0,58.0,91.0
-44,-46,-40,-7.0,-11,19.0,24,80.0,58.0,95.0
-47,-50,-43,-7.0,-11,20.0,17,75.0,58.0,90.0
-40,-41,-37,,-11,18.0,20,76.0,52.0,93.0
-37,-39,-35,-7.0,-11,17.0,20,76.0,47.0,91.0
-42,-44,-39,-7.0,-11,18.0,21,76.0,57.0,89.0
-39,-41,-36,-7.0,-11,17.0,20,75.0,56.0,85.0
-40,-44,-34,-7.0,-10,18.0,28,76.0,50.0,90.0
-34,-37,-32,-7.0,-10,11.0,19,78.0,66.0,105.0
-36,-39,-33,-7.0,-10,20.0,18,75.0,55.0,90.0
-43,-44,-40,-7.0,-11,23.0,28,78.0,58.0,94.0
-35,-37,-32,-7.0,-11,18.0,20,76.0,54.0,91.0
-38,-40,-36,-7.0,-10,20.0,18,76.0,53.0,86.0
-40,-42,-37,-7.0,-11,16.0,39,78.0,69.0,96.0
-40,-43,-38,-7.0,-11,11.0,19,75.0,55.0,91.0
-40,-43,-39,-7.0,-11,20.0,29,79.0,54.0,95.0
-36,-42,-33,-7.0,-10,22.0,19,77.0,56.0,89.0
-38,-41,-36,,-11,18.0,21,76.0,58.0,89.0
-41,-44,-40,-7.0,-11,20.0,23,79.0,54.0,86.0
-37,-41,-36,-7.0,-11,17.0,16,78.0,58.0,98.0
-37,-39,-35,-7.0,-10,18.0,21,77.0,61.0,89.0
-37,-39,-34,-7.0,-11,20.0,17,75.0,54.0,90.0
-46,-50,-43,-7.0,-11,11.0,22,77.0,58.0,94.0
-41,-44,-38,-7.0,-10,18.0,21,76.0,54.0,90.0
-48,-51,-45,-7.0,-11,17.0,27,76.0,57.0,78.0
-41,-45,-39,-8.0,-11,19.0,24,76.0,69.0,103.0
-29,-31,-28,-7.0,-11,16.0,19,77.0,61.0,94.0
-41,-43,-39,-7.0,-10,20.0,18,75.0,55.0,91.0
-39,-41,-36,,-11,12.0,16,76.0,57.0,92.0
-34,-56,-19,-12.0,-3,4.0,18,35.0,33.0,38.0
-39,-42,-36,,-11,18.0,23,80.0,61.0,93.0
-30,-50,-17,-14.0,-1,,20,,,
