ECG_P_Peaks,ECG_P_Onsets,ECG_P_Offsets,ECG_Q_Peaks,ECG_R_Onsets,ECG_R_Offsets,ECG_S_Peaks,ECG_T_Peaks,ECG_T_Onsets,ECG_T_Offsets
-30,-33,-25,-7,-11,7,48,75,67,85
-32,-36,-29,-20,-10,6,24,77,73,94
-32,-37,-30,-7,-10,6,46,78,72,87
-28,-32,-24,-12,-10,7,21,76,72,87
-39,-43,-36,-7,-11,6,14,79,72,84
-29,-31,-25,-17,-11,10,48,42,40,47
-42,-48,-37,-20,-10,6,18,74,58,79
-29,-31,-24,-11,-9,7,35,21,16,26
-29,-38,-25,-10,-15,6,21,74,70,75
-34,-38,-33,-10,-12,6,14,78,74,81
-30,-32,-23,-7,-11,7,16,33,30,35
-28,-31,-24,-8,-12,7,17,78,74,79
-39,-41,-37,-7,-9,6,38,74,69,83
-29,-38,-24,-8,-13,6,25,75,71,84
-38,-41,-32,-7,-10,6,40,73,69,84
-30,-36,-22,-9,-13,7,19,24,19,29
-33,-39,-23,-8,-12,9,14,78,76,82
-32,-35,-30,-6,-13,6,54,32,28,34
-29,-32,-25,-7,-12,5,21,28,22,32
-32,-35,-21,-12,-17,15,35,29,24,35
-29,-37,-24,-7,-14,6,14,22,18,26
-34,-38,-19,-7,-11,6,37,72,69,74
-29,-33,-24,-21,-13,6,14,34,30,38
-28,-31,-24,-10,-9,8,15,77,68,83
-29,-33,-21,-7,-12,10,24,29,24,36
-29,-32,-25,-8,-11,5,16,78,76,85
-33,-38,-31,-7,-16,6,29,35,29,39
-28,-37,-24,-20,-11,7,28,20,18,27
-29,-39,-25,-7,-10,6,19,25,22,28
-29,-39,-24,-11,-9,9,18,66,59,69
-38,-45,-37,-6,-8,7,22,81,76,90
-31,-36,-23,-8,-11,7,16,21,17,26
-32,-36,-30,-20,-9,6,19,78,77,81
-30,-34,-23,-8,-10,13,17,44,38,48
-30,-36,-22,-17,-9,6,19,76,75,81
-41,-44,-37,-15,-9,6,23,38,31,47
-30,-52,-23,-18,-11,7,17,76,74,80
-32,-36,-30,-8,-10,8,21,28,23,29
-31,-37,-24,-7,-11,6,17,31,28,35
-31,-34,-30,-8,-10,7,22,79,76,87
-28,-31,-23,-9,-12,8,21,27,24,30
-29,-34,-25,-20,-11,7,17,74,70,80
-33,-36,-31,-7,-13,7,16,73,66,75
-31,-34,-26,-12,-9,7,19,31,26,36
-33,-38,-32,-7,-9,6,26,30,27,34
-32,-36,-25,-7,-9,7,17,74,71,80
-31,-38,-23,-7,-9,7,14,76,66,81
-33,-37,-30,-13,-10,8,18,34,31,41
-33,-36,-23,-8,-11,6,12,75,71,78
-32,-40,-27,-7,-9,7,20,26,22,28
-34,-37,-32,-7,-12,7,18,30,24,33
-29,-32,-23,-9,-15,7,29,74,66,78
-28,-37,-23,-20,-9,7,16,78,75,79
-36,-42,-35,-8,-11,9,21,29,25,33
-27,-31,-23,-6,-10,7,26,22,21,26
-30,-32,-24,-12,-9,5,23,73,70,75
-29,-37,-23,-8,-12,9,12,22,20,25
-40,-46,-37,-18,-15,6,27,21,14,26
-41,-45,-38,-7,-14,6,13,32,28,34
-35,-39,-33,-17,-10,7,23,76,73,83
-34,-38,-32,-6,-9,7,12,56,50,59
-33,-41,-26,-7,-10,5,17,75,62,78
-35,-43,-32,-9,-8,7,21,35,30,40
-36,-41,-34,-13,-10,7,20,74,72,80
-34,-38,-19,-7,-11,7,16,80,76,85
-34,-39,-33,-6,-9,7,19,75,71,78
-41,-43,-38,-7,-10,7,20,27,25,31
-30,-35,-22,-21,-9,7,18,76,72,82
-32,-36,-30,-8,-11,9,21,29,25,30
-31,-41,-25,-7,-11,7,38,73,68,79
-30,-33,-23,-7,-8,7,15,45,43,47
-33,-36,-24,-19,-9,7,25,31,26,36
-37,-40,-35,-8,-9,6,22,26,22,32
-29,-33,-21,-10,-13,11,19,23,20,25
-28,-32,-22,-8,-11,7,15,28,23,30
-35,-39,-33,-7,-16,6,18,32,28,34
-29,-33,-23,-11,-8,8,16,75,74,80
-33,-38,-24,-7,-8,7,38,33,30,37
-26,-32,-22,-7,-9,6,18,75,70,83
-25,-29,-21,-6,-11,7,20,26,24,29
-34,-38,-32,-21,-10,6,14,70,66,73
-32,-35,-29,-10,-11,7,15,27,24,28
-27,-33,-22,-14,-10,7,34,23,19,27
-42,-45,-38,-7,-10,7,13,75,72,78
-33,-39,-30,-7,-9,8,22,35,32,37
