ECG_P_Peaks,ECG_P_Onsets,ECG_P_Offsets,ECG_Q_Peaks,ECG_R_Onsets,ECG_R_Offsets,ECG_S_Peaks,ECG_T_Peaks,ECG_T_Onsets,ECG_T_Offsets
-53,-58,-43,-6,-13,9.0,15,69.0,67.0,70.0
-49,-62,-42,-5,-12,9.0,19,70.0,65.0,90.0
-53,-59,-51,-5,-14,9.0,8,70.0,59.0,89.0
-50,-60,-43,-6,-11,8.0,8,71.0,65.0,77.0
-51,-57,-39,-7,-14,9.0,9,71.0,66.0,77.0
-51,-57,-42,-6,-10,9.0,9,71.0,64.0,87.0
-51,-59,-42,-5,-11,9.0,8,72.0,67.0,83.0
-51,-58,-41,-6,-11,10.0,18,24.0,17.0,28.0
-48,-49,-40,-5,-11,10.0,9,71.0,53.0,76.0
-51,-60,-43,-5,-11,9.0,8,72.0,71.0,84.0
-50,-59,-42,-5,-12,9.0,9,71.0,60.0,73.0
-50,-56,-42,-5,-11,9.0,23,72.0,59.0,82.0
-52,-63,-44,-6,-10,9.0,7,72.0,65.0,88.0
-52,-57,-43,-5,-11,9.0,9,70.0,62.0,82.0
-52,-60,-50,-5,-11,9.0,8,71.0,67.0,90.0
-51,-57,-42,-5,-10,10.0,9,73.0,70.0,90.0
-49,-59,-42,-5,-12,9.0,17,28.0,24.0,31.0
-51,-60,-39,-6,-11,9.0,15,28.0,26.0,34.0
-50,-60,-41,-5,-10,9.0,9,72.0,68.0,86.0
-50,-57,-41,-5,-11,10.0,8,29.0,25.0,34.0
-48,-51,-41,-5,-13,9.0,18,71.0,68.0,88.0
-51,-58,-48,-5,-10,9.0,8,71.0,67.0,76.0
-50,-59,-38,-5,-10,10.0,8,72.0,67.0,92.0
-51,-57,-48,-5,-10,10.0,9,72.0,68.0,88.0
-49,-57,-42,-5,-10,10.0,9,71.0,67.0,82.0
-48,-51,-42,-5,-10,10.0,9,71.0,69.0,74.0
-50,-56,-42,-5,-10,10.0,9,73.0,68.0,76.0
-49,-59,-40,-5,-9,10.0,9,71.0,67.0,85.0
-51,-59,-42,-5,-10,9.0,8,71.0,65.0,76.0
-51,-62,-49,-5,-9,10.0,8,72.0,62.0,85.0
-49,-59,-41,-5,-11,9.0,29,71.0,67.0,82.0
-52,-57,-50,-5,-10,9.0,8,28.0,24.0,32.0
-50,-60,-43,-6,-12,9.0,8,19.0,17.0,22.0
-51,-57,-38,-6,-12,9.0,9,71.0,65.0,90.0
-50,-57,-37,-6,-15,9.0,8,71.0,63.0,72.0
-48,-58,-39,-5,-10,10.0,8,34.0,30.0,36.0
-49,-53,-43,-6,-13,9.0,8,25.0,23.0,30.0
-44,-47,-40,-4,-13,9.0,9,17.0,13.0,21.0
-47,-50,-41,-5,-10,10.0,9,22.0,16.0,28.0
-49,-58,-41,-5,-12,9.0,30,71.0,70.0,78.0
-48,-50,-42,-5,-10,9.0,28,72.0,65.0,86.0
-52,-59,-40,-6,-11,9.0,17,29.0,25.0,31.0
-52,-61,-43,-6,-13,10.0,9,72.0,64.0,79.0
-50,-61,-43,-6,-11,9.0,18,71.0,66.0,79.0
-52,-56,-48,-5,-11,9.0,18,21.0,17.0,29.0
-49,-51,-44,-5,-9,9.0,8,30.0,28.0,33.0
-48,-55,-38,-8,-10,10.0,8,73.0,69.0,84.0
-48,-57,-41,-15,-10,10.0,9,72.0,66.0,84.0
-51,-57,-48,-12,-10,10.0,8,72.0,65.0,85.0
-47,-59,-38,-5,-11,10.0,9,21.0,19.0,22.0
-49,-57,-40,-5,-15,11.0,20,71.0,65.0,81.0
-49,-50,-39,-6,-11,9.0,21,32.0,29.0,35.0
-48,-59,-41,-6,-10,10.0,27,72.0,69.0,86.0
-47,-59,-41,-5,-12,10.0,20,72.0,69.0,86.0
-47,-59,-42,-8,-12,10.0,20,23.0,20.0,28.0
-46,-47,-39,-7,-11,10.0,9,72.0,50.0,86.0
-48,-58,-41,-5,-10,11.0,9,72.0,68.0,92.0
-48,-55,-41,-5,-11,11.0,9,73.0,69.0,84.0
-46,-49,-40,-5,-11,10.0,15,72.0,64.0,92.0
-47,-59,-40,-5,-10,10.0,9,73.0,66.0,89.0
-50,-58,-48,-6,-13,10.0,8,71.0,64.0,75.0
-49,-58,-41,-8,-12,10.0,8,72.0,69.0,87.0
-50,-59,-42,-5,-10,9.0,8,73.0,67.0,84.0
-49,-56,-41,-16,-9,10.0,8,71.0,66.0,86.0
-49,-55,-41,-23,-12,11.0,9,73.0,68.0,85.0
-48,-56,-37,-8,-12,10.0,9,24.0,23.0,29.0
-49,-59,-37,-6,-12,10.0,8,70.0,64.0,73.0
-47,-48,-41,-7,-11,10.0,9,72.0,67.0,86.0
-48,-56,-41,-8,-11,10.0,18,70.0,65.0,88.0
-47,-49,-40,-5,-10,11.0,9,72.0,70.0,87.0
-49,-56,-42,-5,-12,10.0,8,72.0,68.0,91.0
-49,-57,-39,-5,-10,11.0,15,71.0,66.0,83.0
-49,-58,-36,-6,-10,9.0,8,71.0,67.0,89.0
-46,-50,-40,-6,-10,11.0,9,74.0,69.0,82.0
-46,-48,-41,-6,-12,10.0,8,72.0,69.0,85.0
-48,-50,-39,-7,-11,10.0,20,71.0,43.0,86.0
-50,-58,-39,-6,-12,10.0,9,70.0,61.0,71.0
-49,-57,-39,-6,-10,10.0,8,29.0,22.0,35.0
-49,-59,-41,-5,-10,,9,,,
