ECG_P_Peaks,ECG_P_Onsets,ECG_P_Offsets,ECG_Q_Peaks,ECG_R_Onsets,ECG_R_Offsets,ECG_S_Peaks,ECG_T_Peaks,ECG_T_Onsets,ECG_T_Offsets
-32,-35,-28,-6,-11,3,3,41,40,43
-41,-46,-36,-20,-6,3,3,35,32,37
-24,-27,-23,-6,-5,3,9,41,39,43
-18,-21,-15,-9,-4,5,12,43,39,48
-23,-25,-20,-6,-3,9,7,34,32,36
-33,-35,-31,-7,-11,3,8,39,35,47
-29,-34,-26,-4,-11,5,3,46,42,49
-33,-38,-30,-7,-5,5,6,42,39,43
-20,-22,-17,-10,-9,5,5,43,41,47
-27,-30,-23,-6,-5,2,2,17,16,19
-21,-24,-19,-3,-5,6,6,23,21,27
-19,-22,-17,-7,-3,5,5,44,44,47
-25,-30,-22,-4,-7,3,7,47,43,51
-33,-35,-31,-6,-4,6,4,32,31,36
-24,-25,-21,-5,-2,3,6,45,40,48
-35,-37,-32,-7,-4,4,7,41,38,45
-33,-35,-30,-4,-7,5,8,41,39,44
-25,-27,-23,-6,-5,7,6,36,33,37
-22,-24,-20,-6,-3,7,10,43,41,46
-21,-24,-20,-6,-4,5,9,38,36,40
-19,-21,-17,-6,-6,2,7,41,37,44
-37,-39,-34,-14,-3,3,3,18,17,19
-24,-26,-22,-7,-6,6,5,44,43,46
-23,-26,-21,-6,-2,8,4,48,46,50
-23,-26,-22,-7,-6,6,23,42,38,44
-21,-24,-18,-5,-8,7,7,38,34,42
-26,-28,-23,-5,-10,6,6,25,24,27
-21,-23,-18,-5,-4,8,7,43,41,44
-26,-29,-24,-6,-9,8,7,21,18,25
-21,-24,-18,-7,-6,4,8,47,45,50
-21,-23,-19,-6,-5,2,23,38,35,40
-21,-22,-17,-11,-10,7,6,37,36,41
-22,-24,-20,-5,-3,7,12,45,44,48
-22,-24,-20,-2,-5,4,12,42,38,44
-20,-22,-17,-8,-7,7,6,18,16,21
-21,-24,-18,-6,-11,8,7,42,40,45
-26,-28,-24,-8,-10,11,7,47,45,48
-38,-40,-35,-4,-3,5,8,40,38,42
-42,-46,-38,-4,-4,5,4,42,40,44
-23,-24,-21,-3,-6,2,6,18,16,20
-36,-37,-34,-4,-4,6,5,24,21,26
-20,-24,-18,-2,-5,4,4,43,41,45
-32,-34,-30,-6,-4,2,6,43,38,46
-27,-29,-23,-3,-7,8,6,41,38,44
-23,-26,-19,-3,-6,4,3,43,42,46
-39,-42,-37,-7,-3,6,5,44,40,50
-34,-36,-31,-6,-4,3,3,26,23,27
-36,-39,-35,-5,-3,5,4,40,38,43
-33,-35,-31,-2,-4,4,3,16,15,19
-34,-38,-31,-7,-4,5,3,44,43,46
-31,-34,-30,-6,-3,3,7,18,15,20
-36,-39,-34,-12,-4,3,3,48,46,50
-41,-43,-40,-4,-11,5,3,29,27,31
-22,-24,-21,-7,-4,7,6,40,37,43
-29,-31,-27,-2,-7,3,3,20,15,25
-26,-29,-23,-4,-3,0,9,37,33,39
-20,-24,-18,-5,-8,9,7,42,40,44
-25,-29,-22,-10,-6,9,6,28,26,30
-41,-44,-38,-9,-7,7,6,43,40,47
-20,-24,-18,-6,-4,6,9,40,39,42
-27,-29,-24,-9,-7,7,6,21,20,24
-29,-32,-26,-6,-2,5,4,21,17,23
-20,-23,-16,-8,-3,10,6,43,41,47
-29,-32,-28,-6,-8,7,7,49,47,51
-19,-25,-16,-10,-3,10,6,39,36,42
-21,-24,-19,-6,-4,9,6,39,37,41
-23,-25,-21,-7,-10,6,6,39,35,41
-23,-26,-21,-7,-11,8,6,38,35,40
-22,-26,-20,-9,-8,6,6,42,41,45
-25,-27,-23,-9,-8,10,6,42,39,46
-21,-24,-20,-13,-10,10,8,44,43,48
-25,-26,-23,-5,-9,10,6,33,29,36
-19,-21,-18,-8,-11,7,6,40,38,42
-19,-20,-17,-6,-5,5,8,27,24,30
-40,-42,-36,-8,-2,0,3,18,14,22
-35,-37,-31,-14,-6,10,9,42,41,44
-21,-23,-18,-7,-10,7,6,41,38,43
-39,-41,-36,-12,-5,0,4,22,19,25
-23,-25,-22,-2,-5,6,2,40,38,42
-25,-28,-23,-5,-3,11,8,37,36,39
-24,-25,-22,-10,-6,0,5,19,18,24
-25,-28,-23,-8,-5,8,7,41,38,44
-24,-25,-22,-12,-5,4,4,44,43,47
-28,-32,-22,-6,-5,8,6,42,41,46
-26,-28,-24,-7,-5,7,5,42,40,44
-27,-28,-24,-7,-2,7,6,24,23,28
-26,-27,-22,-7,-2,7,5,20,17,24
