I71,I72,I73,I74,I75
-0.7903225806451613,-2.4270931326434617,-1.8889934148635936,2.593137254901961,-1.4689542483660132
-0.7903225806451613,-2.428974600188147,-1.8908748824082784,2.5833333333333335,-1.4705882352941178
-0.7903225806451613,-2.4242709313264346,-1.889934148635936,2.5800653594771243,-1.4722222222222223
-0.7983870967741935,-2.423330197554092,-1.8918156161806208,2.588235294117647,-1.473856209150327
-0.8024193548387096,-2.4242709313264346,-1.8974600188146755,2.59640522875817,-1.4754901960784315
-0.7983870967741935,-2.4214487300094074,-1.8889934148635936,2.588235294117647,-1.4787581699346406
-0.7943548387096774,-2.4270931326434617,-1.896519285042333,2.5866013071895426,-1.4803921568627452
-0.7943548387096774,-2.4280338664158045,-1.8927563499529634,2.5898692810457518,-1.4820261437908497
-0.8024193548387096,-2.4261523988711193,-1.8974600188146755,2.588235294117647,-1.4852941176470589
-0.8024193548387096,-2.4242709313264346,-1.8936970837253058,2.5866013071895426,-1.4820261437908497
-0.7983870967741935,-2.428974600188147,-1.8936970837253058,2.5866013071895426,-1.4836601307189543
-0.7943548387096774,-2.423330197554092,-1.8918156161806208,2.5915032679738563,-1.4852941176470589
-0.7943548387096774,-2.4299153339604893,-1.8927563499529634,2.59640522875817,-1.4901960784313726
-0.7983870967741935,-2.431796801505174,-1.8889934148635936,2.593137254901961,-1.4901960784313726
-0.8024193548387096,-2.4308560677328317,-1.898400752587018,2.5784313725490198,-1.4918300653594772
-0.7983870967741935,-2.4327375352775165,-1.8927563499529634,2.5833333333333335,-1.4901960784313726
-0.7943548387096774,-2.431796801505174,-1.8918156161806208,2.5947712418300655,-1.4918300653594772
-0.7943548387096774,-2.440263405456256,-1.8871119473189089,2.6029411764705883,-1.4918300653594772
-0.7983870967741935,-2.4374412041392284,-1.896519285042333,2.6013071895424837,-1.4918300653594772
-0.7983870967741935,-2.443085606773283,-1.896519285042333,2.6029411764705883,-1.4934640522875817
-0.7983870967741935,-2.444967074317968,-1.8927563499529634,2.607843137254902,-1.488562091503268
-0.7903225806451613,-2.4393226716839136,-1.8955785512699905,2.6094771241830066,-1.4820261437908497
-0.7903225806451613,-2.443085606773283,-1.8908748824082784,2.616013071895425,-1.4787581699346406
-0.7943548387096774,-2.4459078080903103,-1.8880526810912512,2.6258169934640523,-1.473856209150327
-0.8024193548387096,-2.444967074317968,-1.8871119473189089,2.6356209150326797,-1.4722222222222223
-0.7983870967741935,-2.4440263405456255,-1.8852304797742239,2.645424836601307,-1.4705882352941178
-0.7943548387096774,-2.440263405456256,-1.8861712135465662,2.6486928104575163,-1.4640522875816993
-0.7903225806451613,-2.4412041392285984,-1.8871119473189089,2.65359477124183,-1.4591503267973855
-0.7903225806451613,-2.436500470366886,-1.883349012229539,2.6372549019607843,-1.4542483660130718
-0.7943548387096774,-2.433678269049859,-1.876763875823142,2.6258169934640523,-1.4509803921568627
-0.7943548387096774,-2.431796801505174,-1.8748824082784572,2.6437908496732025,-1.4477124183006536
-0.782258064516129,-2.425211665098777,-1.8777046095954846,2.656862745098039,-1.4477124183006536
-0.7782258064516129,-2.4214487300094074,-1.878645343367827,2.661764705882353,-1.4444444444444444
-0.782258064516129,-2.4176857949200374,-1.876763875823142,2.65359477124183,-1.4444444444444444
-0.782258064516129,-2.4158043273753527,-1.8758231420507996,2.6437908496732025,-1.4411764705882353
-0.7782258064516129,-2.412041392285983,-1.8795860771401693,2.6470588235294117,-1.4411764705882353
-0.7701612903225806,-2.405456255879586,-1.8842897460018815,2.642156862745098,-1.4411764705882353
