I51,I52,I53,I54,I55,I56,I57,I58,I59,I60
-0.8282009724473258,0.526742301458671,1.1231766612641816,2.8300653594771243,0.43790849673202614,-5.447712418300654,-1.9481268011527377,1.622478386167147,-0.28038897893030795,-8.056726094003242
-0.8282009724473258,0.45705024311183146,1.13290113452188,2.823529411764706,0.4264705882352941,-5.44281045751634,-1.9337175792507204,1.606147934678194,-0.2787682333873582,-8.07455429497569
-0.826580226904376,0.37763371150729336,1.141004862236629,2.816993464052288,0.4411764705882353,-5.436274509803922,-1.9356388088376562,1.5994236311239194,-0.2771474878444084,-8.07455429497569
-0.8314424635332253,0.3014586709886548,1.1474878444084278,2.820261437908497,0.5049019607843137,-5.431372549019608,-1.967339097022094,1.6051873198847262,-0.2755267423014587,-8.072933549432738
-0.833063209076175,0.23500810372771475,1.1491085899513775,2.8218954248366015,0.5179738562091504,-5.428104575163399,-1.9634966378482228,1.6215177713736793,-0.2755267423014587,-8.06807131280389
-0.8282009724473258,0.1620745542949757,1.152350081037277,2.816993464052288,0.369281045751634,-5.42483660130719,-1.968299711815562,1.6138328530259367,-0.2771474878444084,-8.06969205834684
-0.833063209076175,0.1393841166936791,1.1620745542949757,2.815359477124183,0.12745098039215685,-5.415032679738562,-1.9615754082612873,1.6138328530259367,-0.2787682333873582,-8.07131280388979
-0.8233387358184765,0.1426256077795786,1.179902755267423,2.826797385620915,-0.09967320261437909,-5.4068627450980395,-1.9990393852065322,1.6253602305475505,-0.28038897893030795,-8.092382495948137
-0.8119935170178282,0.1507293354943274,1.186385737439222,2.8333333333333335,-0.25163398692810457,-5.405228758169935,-1.9702209414024976,1.6282420749279538,-0.28038897893030795,-8.106969205834684
-0.8184764991896273,0.15235008103727715,1.1993517017828201,2.8300653594771243,-0.31862745098039214,-5.408496732026144,-1.978866474543708,1.6359269932756964,-0.28038897893030795,-8.094003241491086
-0.8249594813614263,0.14910858995137763,1.2269043760129659,2.823529411764706,-0.35947712418300654,-5.413398692810458,-1.951969260326609,1.6157540826128722,-0.28363047001620745,-8.07779578606159
-0.8249594813614263,0.14424635332252836,1.26580226904376,2.8218954248366015,-0.4019607843137255,-5.415032679738562,-1.9260326609029779,1.6349663784822286,-0.28363047001620745,-8.047001620745544
-0.8152350081037277,0.13614262560777957,1.2836304700162076,2.823529411764706,-0.44281045751633985,-5.411764705882353,-1.978866474543708,1.6234390009606148,-0.28038897893030795,-8.004862236628849
-0.8152350081037277,0.1312803889789303,1.2771474878444085,2.8284313725490198,-0.477124183006536,-5.411764705882353,-1.9500480307396735,1.6147934678194045,-0.28038897893030795,-8.029173419773096
-0.8184764991896273,0.12965964343598055,1.2544570502431118,2.831699346405229,-0.4950980392156863,-5.411764705882353,-1.9500480307396735,1.6109510086455332,-0.2820097244732577,-8.119935170178282
-0.820097244732577,0.1280388978930308,1.213938411669368,2.831699346405229,-0.5032679738562091,-5.4068627450980395,-1.9385206532180597,1.6234390009606148,-0.2820097244732577,-8.170178282009724
-0.8249594813614263,0.12641815235008103,1.1620745542949757,2.8284313725490198,-0.5,-5.401960784313726,-1.9269932756964456,1.6195965417867435,-0.28038897893030795,-8.13614262560778
-0.826580226904376,0.12479740680713128,1.1150729335494327,2.8300653594771243,-0.5081699346405228,-5.398692810457517,-1.94716618635927,1.6080691642651297,-0.28038897893030795,-8.084278768233387
-0.8282009724473258,0.12479740680713128,1.0713128038897892,2.8415032679738563,-0.5196078431372549,-5.400326797385621,-1.9279538904899136,1.6368876080691643,-0.2820097244732577,-8.058346839546191
-0.8184764991896273,0.12641815235008103,1.027552674230146,2.8513071895424837,-0.5245098039215687,-5.4068627450980395,-1.9068203650336215,1.6292026897214218,-0.2787682333873582,-8.07779578606159
-0.8217179902755267,0.12641815235008103,1.0162074554294975,2.849673202614379,-0.5294117647058824,-5.4183006535947715,-1.94716618635927,1.6416906820365034,-0.28038897893030795,-8.090761750405186
-0.8217179902755267,0.12479740680713128,1.0226904376012966,2.8398692810457518,-0.5277777777777778,-5.428104575163399,-1.9298751200768491,1.6311239193083573,-0.28038897893030795,-8.102106969205835
-0.8233387358184765,0.12641815235008103,1.0356564019448946,2.843137254901961,-0.5261437908496732,-5.439542483660131,-1.9433237271853987,1.6503362151777137,-0.2820097244732577,-8.116693679092382
-0.826580226904376,0.12479740680713128,1.0372771474878444,2.8594771241830066,-0.5375816993464052,-5.446078431372549,-1.8981748318924112,1.6503362151777137,-0.28038897893030795,-8.116693679092382
