I21,I22,I23,I24,I25,I26,I27,I28,I29,I30
-2.004166666666667,-0.7416666666666667,-1.5552353506243997,-2.7617675312199808,-1.2310679611650486,0.3941747572815534,4.590690208667737,0.4012841091492777,2.5640194489465156,3.520259319286872
-2.0125,-0.7541666666666667,-1.6090297790585975,-2.7310278578290106,-1.2407766990291262,0.39611650485436894,4.58908507223114,0.4028892455858748,2.5445705024311183,3.5348460291734196
-2.0166666666666666,-0.5708333333333333,-1.655139289145053,-2.698366954851105,-1.2446601941747573,0.39805825242718446,4.590690208667737,0.4028892455858748,2.479740680713128,3.5461912479740683
-2.0208333333333335,-0.5416666666666666,-1.6051873198847262,-2.6676272814601343,-1.2446601941747573,0.39611650485436894,4.593900481540931,0.4012841091492777,2.4975688816855754,3.5445705024311183
-2.0125,-0.6166666666666667,-1.5965417867435159,-2.6292026897214216,-1.2524271844660195,0.39805825242718446,4.60513643659711,0.4028892455858748,2.505672609400324,3.5461912479740683
-2.0125,-0.6666666666666666,-1.6263208453410183,-2.578290105667627,-1.2466019417475729,0.4,4.622792937399679,0.40770465489566615,2.4813614262560777,3.53160453808752
-2.0125,-0.6125,-1.6301633045148896,-2.6042267050912584,-1.233009708737864,0.4,4.634028892455858,0.4173354735152488,2.487844408427877,3.538087520259319
-2.0208333333333335,-0.49166666666666664,-1.6032660902977907,-2.702209414024976,-1.2407766990291262,0.4,4.621187800963082,0.420545746388443,2.492706645056726,3.5445705024311183
-2.029166666666667,-0.44166666666666665,-1.6157540826128722,-2.8683957732949086,-1.225242718446602,0.39223300970873787,4.619582664526485,0.42215088282504015,2.4910858995137763,3.528363047001621
-2.0208333333333335,-0.6208333333333333,-1.6205571565802113,-2.9644572526416906,-1.225242718446602,0.39805825242718446,4.635634028892456,0.42215088282504015,2.4910858995137763,3.5235008103727714
-2.0125,-0.75,-1.6388088376560999,-2.937560038424592,-1.2368932038834952,0.4,4.637239165329053,0.42536115569823435,2.4959481361426255,3.5364667747163696
-2.0166666666666666,-0.5833333333333334,-1.6359269932756964,-2.9452449567723344,-1.2407766990291262,0.4,4.635634028892456,0.4301765650080257,2.5494327390599674,3.538087520259319
-2.0166666666666666,-0.24166666666666667,-1.6195965417867435,-2.9519692603266092,-1.2233009708737863,0.40194174757281553,4.646869983948636,0.43659711075441415,2.512155591572123,3.5364667747163696
