ECG_P_Peaks,ECG_P_Onsets,ECG_P_Offsets,ECG_Q_Peaks,ECG_R_Onsets,ECG_R_Offsets,ECG_S_Peaks,ECG_T_Peaks,ECG_T_Onsets,ECG_T_Offsets
-35,-42,-12,-6,-28,14,10,82,77,94
-66,-74,-56,-5,-12,17,15,61,42,72
-50,-57,-47,-7,-30,16,10,68,51,77
-84,-99,-66,-14,-19,13,9,66,50,97
-45,-51,-35,-3,-15,11,5,18,7,26
-53,-58,-48,-4,-16,14,10,68,61,78
-45,-49,-30,-8,-11,13,10,67,47,85
-30,-33,-19,-13,-28,14,8,78,75,98
-48,-60,-38,-5,-13,18,10,69,48,96
-37,-44,-32,-9,-30,18,10,69,40,74
-37,-44,-23,-6,-37,16,10,67,55,76
-37,-45,-18,-11,-36,13,9,69,36,78
-36,-48,-17,-6,-35,15,10,71,25,95
-38,-46,-15,-9,-31,15,10,71,55,79
-72,-96,-63,-15,-21,12,6,67,48,76
-33,-49,-23,-8,-13,13,9,66,49,78
-37,-49,-24,-5,-14,16,11,72,52,77
-76,-106,-69,-17,-13,14,7,68,50,98
-35,-49,-13,-11,-29,14,7,68,39,78
-37,-44,-20,-6,-13,14,10,72,51,89
-68,-90,-51,-15,-20,14,10,69,57,96
-35,-42,-9,-5,-14,15,10,69,62,82
-37,-45,-23,-6,-36,14,10,72,65,100
-70,-100,-43,-14,-17,14,10,69,46,93
-54,-59,-52,-6,-13,16,10,69,44,81
-47,-59,-30,-5,-18,15,11,69,55,93
-35,-45,-21,-10,-33,19,10,68,48,77
-46,-55,-31,-5,-15,15,10,70,65,93
-36,-51,-12,-8,-19,18,8,70,61,78
-47,-60,-30,-5,-15,14,7,70,47,90
-35,-43,-13,-9,-28,18,10,84,80,105
-66,-72,-46,-7,-13,24,20,53,38,55
-35,-42,-19,-12,-16,14,9,69,57,77
-50,-60,-29,-12,-17,13,9,69,57,92
-35,-42,-11,-6,-30,17,8,70,64,77
-82,-114,-75,-10,-20,9,7,65,31,98
-58,-62,-53,-14,-20,18,7,68,50,77
-48,-54,-46,-9,-15,15,9,70,40,73
-38,-48,-18,-8,-15,14,10,71,57,104
-37,-45,-22,-9,-36,14,9,73,62,101
-71,-104,-43,-16,-33,13,7,67,47,96
-35,-44,-18,-7,-10,15,11,67,56,73
-36,-44,-16,-6,-35,15,9,74,59,101
-69,-101,-43,-16,-25,14,8,68,57,79
-34,-43,-18,-6,-32,16,8,69,66,80
-37,-45,-22,-6,-12,15,10,75,45,97
-69,-102,-49,-15,-11,14,10,69,59,94
-36,-41,-32,-4,-9,18,9,65,58,86
-56,-60,-51,-4,-7,6,4,37,31,45
-67,-71,-52,-7,-12,17,10,69,65,76
-60,-63,-55,-9,-16,15,10,67,52,70
-35,-56,-16,-6,-11,15,9,75,52,95
-68,-102,-49,-16,-11,15,10,70,51,74
-56,-62,-52,-7,-34,15,10,70,64,77
-36,-50,-21,-6,-11,14,10,76,74,99
-69,-75,-49,-23,-15,15,10,69,50,95
-35,-42,-16,-6,-14,17,11,73,57,104
-46,-58,-29,-6,-12,16,10,70,50,91
-35,-44,-31,-9,-16,16,10,74,39,80
-60,-69,-49,-5,-11,28,25,61,44,73
