ECG_P_Peaks,ECG_P_Onsets,ECG_P_Offsets,ECG_Q_Peaks,ECG_R_Onsets,ECG_R_Offsets,ECG_S_Peaks,ECG_T_Peaks,ECG_T_Onsets,ECG_T_Offsets
-39,-45,-34,-15.0,-4,,69.0,,,
-41,-44,-34,-15.0,-4,,70.0,,,
-41,-45,-33,-15.0,-3,,67.0,,,
-40,-46,-33,-15.0,-3,,68.0,,,
-40,-43,-33,-15.0,-4,,67.0,,,
-40,-43,-33,-15.0,-3,,66.0,,,
-40,-46,-34,-15.0,-8,,68.0,,,
-45,-47,-43,-15.0,-3,,67.0,,,
-40,-43,-33,-15.0,-4,,68.0,,,
-40,-44,-33,-14.0,-3,,70.0,,,
-41,-45,-35,-15.0,-4,,68.0,,,
-40,-43,-33,-15.0,-3,,68.0,,,
-39,-44,-33,-15.0,-4,13.0,69.0,40.0,38.0,43.0
-39,-43,-33,-15.0,-3,,67.0,,,
-40,-44,-33,-15.0,-3,,67.0,,,
-40,-45,-33,-15.0,-21,,68.0,,,
-39,-42,-32,-15.0,-3,,68.0,,,
-40,-44,-34,-15.0,-3,,69.0,,,
-41,-44,-34,-15.0,-3,,66.0,,,
-40,-44,-33,-15.0,-21,,68.0,,,
-39,-45,-34,-15.0,-4,,69.0,,,
-40,-43,-33,-15.0,-8,,68.0,,,
-41,-44,-34,-15.0,-3,,69.0,,,
-40,-44,-33,-15.0,-21,,67.0,,,
-39,-43,-33,-15.0,-3,,67.0,,,
-39,-44,-33,-14.0,-3,,69.0,,,
-40,-44,-33,-15.0,-3,,68.0,,,
-39,-45,-34,-15.0,-3,,69.0,,,
-38,-43,-31,-14.0,-3,,69.0,,,
-39,-43,-33,-14.0,-3,,70.0,,,
-40,-44,-33,-15.0,-3,,67.0,,,
-39,-44,-33,-14.0,-3,,68.0,,,
-38,-42,-31,-14.0,-3,,69.0,,,
-39,-44,-33,-15.0,-3,,69.0,,,
-40,-45,-34,-15.0,-8,,68.0,,,
-40,-45,-34,-15.0,-3,,68.0,,,
-39,-43,-32,-15.0,-3,,69.0,,,
-39,-42,-32,-15.0,-3,,68.0,,,
-41,-45,-34,-15.0,-3,,68.0,,,
-39,-45,-34,-14.0,-7,,68.0,,,
-40,-43,-33,-15.0,-3,,68.0,,,
-47,-54,-44,-15.0,-3,,70.0,,,
-39,-43,-32,-15.0,-3,,67.0,,,
-41,-44,-34,-15.0,-3,,67.0,,,
-40,-45,-33,-15.0,-3,,67.0,,,
-39,-43,-32,-15.0,-3,,68.0,,,
-39,-44,-33,-15.0,-3,,68.0,,,
-41,-44,-34,-15.0,-3,,66.0,,,
-41,-45,-34,-15.0,-3,,68.0,,,
-40,-43,-33,-15.0,-3,,66.0,,,
-40,-45,-34,-15.0,-20,,68.0,,,
-40,-45,-33,-15.0,-3,,66.0,,,
-41,-44,-33,-15.0,-3,,66.0,,,
-41,-44,-33,-15.0,-3,,69.0,,,
-39,-43,-32,-16.0,-3,,67.0,,,
-47,-54,-45,-14.0,-2,,69.0,,,
-39,-44,-32,-14.0,-2,,68.0,,,
-39,-44,-33,-15.0,-4,,69.0,,,
-39,-43,-32,-15.0,-3,,67.0,,,
-40,-43,-32,-15.0,-2,,67.0,,,
-40,-44,-33,-15.0,-3,,69.0,,,
-39,-42,-32,-16.0,-3,,67.0,,,
-38,-42,-31,-15.0,-7,,68.0,,,
-39,-45,-33,-15.0,-2,,67.0,,,
-40,-45,-34,-15.0,-3,,68.0,,,
-39,-45,-33,-15.0,-3,,68.0,,,
-39,-43,-32,-15.0,-3,,66.0,,,
-39,-45,-34,-15.0,-3,,69.0,,,
-42,-44,-39,,-12,0.0,,71.0,53.0,91.0
-40,-49,-37,-15.0,-19,16.0,15.0,50.0,45.0,66.0
