ECG_P_Peaks,ECG_P_Onsets,ECG_P_Offsets,ECG_Q_Peaks,ECG_R_Onsets,ECG_R_Offsets,ECG_S_Peaks,ECG_T_Peaks,ECG_T_Onsets,ECG_T_Offsets
-33.0,-34.0,-29.0,-13.0,-17.0,25.0,8.0,40.0,37.0,46.0
-42.0,-44.0,-40.0,-29.0,-5.0,,59.0,,,
,,,,,,62.0,,,
-34.0,-38.0,-33.0,,-14.0,,61.0,,,
-33.0,-36.0,-32.0,-41.0,-14.0,,62.0,,,
-31.0,-34.0,-28.0,,-14.0,,61.0,,,
-34.0,-55.0,-20.0,-10.0,-7.0,24.0,8.0,29.0,9.0,36.0
-35.0,-37.0,-32.0,,-5.0,,57.0,,,
-32.0,-52.0,-30.0,-10.0,-7.0,18.0,7.0,38.0,36.0,46.0
-50.0,-55.0,-11.0,-10.0,-16.0,16.0,4.0,18.0,10.0,24.0
-32.0,-34.0,-30.0,,-8.0,,,,,
-28.0,-31.0,-27.0,-31.0,-8.0,,,,,
-33.0,-35.0,-30.0,-30.0,-16.0,,,,,
-34.0,-37.0,-32.0,-37.0,-8.0,,,,,
-32.0,-35.0,-29.0,-28.0,-13.0,,64.0,,,
-30.0,-33.0,-28.0,-43.0,-13.0,,61.0,,,
-35.0,-38.0,-33.0,,-15.0,,60.0,,,
-45.0,-47.0,-43.0,,-15.0,,60.0,,,
-31.0,-34.0,-25.0,-24.0,-12.0,,60.0,,,
-31.0,-34.0,-29.0,-23.0,-11.0,,63.0,,,
-31.0,-34.0,-25.0,-23.0,-13.0,,60.0,,,
-36.0,-57.0,-28.0,-13.0,-15.0,26.0,8.0,41.0,37.0,48.0
-56.0,-58.0,-53.0,-28.0,-4.0,,59.0,,,
,,,,,,59.0,,,
-36.0,-39.0,-34.0,,-16.0,,59.0,,,
-28.0,-34.0,-25.0,-34.0,-11.0,,64.0,,,
-33.0,-35.0,-30.0,,-12.0,,62.0,,,
-31.0,-34.0,-29.0,-39.0,-11.0,,64.0,,,
-32.0,-35.0,-28.0,-24.0,-11.0,,63.0,,,
-33.0,-35.0,-30.0,-25.0,-4.0,,62.0,,,
-35.0,-38.0,-34.0,,-14.0,,59.0,,,
-32.0,-35.0,-30.0,-29.0,-7.0,,,,,
,,,-24.0,,,60.0,,,
,,,,,,62.0,,,
-28.0,-30.0,-25.0,,-11.0,,63.0,,,
-33.0,-36.0,-31.0,-25.0,-12.0,,62.0,,,
,,,,,,61.0,,,
-31.0,-33.0,-28.0,-28.0,-14.0,,60.0,,,
-35.0,-38.0,-32.0,-28.0,-7.0,,56.0,,,
-33.0,-52.0,-30.0,-11.0,-7.0,,8.0,,,
,,,-29.0,,,59.0,,,
-35.0,-38.0,-34.0,-23.0,-13.0,,60.0,,,
-31.0,-34.0,-30.0,,-11.0,,63.0,,,
-30.0,-36.0,-28.0,-21.0,-8.0,,61.0,,,
-32.0,-34.0,-29.0,,-12.0,,62.0,,,
-30.0,-32.0,-26.0,-25.0,-13.0,,61.0,,,
-32.0,-35.0,-29.0,,-4.0,,63.0,,,
-36.0,-39.0,-34.0,,-16.0,,58.0,,,
-36.0,-39.0,-34.0,-39.0,-15.0,,58.0,,,
-32.0,-33.0,-28.0,-13.0,-6.0,,8.0,,,
-30.0,-33.0,-28.0,-28.0,-8.0,,,,,
-27.0,-30.0,-25.0,-35.0,-16.0,9.0,,26.0,22.0,32.0
-32.0,-34.0,-29.0,-25.0,-16.0,,63.0,,,
-32.0,-34.0,-29.0,-24.0,-12.0,,59.0,,,
-39.0,-42.0,-37.0,-26.0,-14.0,,61.0,,,
-36.0,-38.0,-33.0,-28.0,-14.0,,60.0,,,
-51.0,-53.0,-48.0,,-15.0,,60.0,,,
,,,-38.0,,,59.0,,,
,,,,,,57.0,,,
-35.0,-38.0,-29.0,-39.0,-14.0,,59.0,,,
-31.0,-33.0,-28.0,,-12.0,,59.0,,,
-34.0,-38.0,-32.0,-24.0,-12.0,,61.0,,,
-32.0,-34.0,-28.0,,-12.0,,59.0,,,
-36.0,-39.0,-34.0,-28.0,-16.0,,58.0,,,
-35.0,-38.0,-32.0,,-14.0,,60.0,,,
,,,,,,57.0,,,
-34.0,-38.0,-33.0,-38.0,-14.0,,59.0,,,
-33.0,-36.0,-30.0,-25.0,-13.0,,63.0,,,
-35.0,-38.0,-33.0,-33.0,-4.0,12.0,15.0,20.0,17.0,25.0
-35.0,-40.0,-33.0,-32.0,-4.0,4.0,13.0,16.0,14.0,22.0
-32.0,-35.0,-29.0,-29.0,-12.0,,62.0,,,
-35.0,-38.0,-29.0,-29.0,-14.0,,59.0,,,
-32.0,-35.0,-30.0,,-11.0,,63.0,,,
-41.0,-44.0,-31.0,-11.0,-7.0,21.0,5.0,26.0,13.0,34.0
-27.0,-29.0,-24.0,-24.0,-26.0,,65.0,,,
-20.0,-33.0,-13.0,-33.0,-17.0,,7.0,,,
-54.0,-55.0,-50.0,-9.0,-15.0,17.0,7.0,32.0,26.0,
,,,-11.0,,,8.0,,,
-42.0,-44.0,-38.0,,-8.0,10.0,,25.0,22.0,32.0
,,,-41.0,,,,,,
-30.0,-33.0,-27.0,,-6.0,,,,,
,,,-28.0,,,,,,
-34.0,-35.0,-31.0,-26.0,-7.0,,,,,
,,,-24.0,,,60.0,,,
-34.0,-37.0,-32.0,-26.0,-12.0,,60.0,,,
-31.0,-33.0,-28.0,-39.0,-11.0,,59.0,,,
-41.0,-43.0,-39.0,,-14.0,,60.0,,,
-37.0,-40.0,-34.0,,-11.0,,59.0,,,
-30.0,-34.0,-25.0,,-11.0,,59.0,,,
-31.0,-34.0,-28.0,-24.0,-11.0,,59.0,,,
-30.0,-33.0,-27.0,,-11.0,,59.0,,,
-33.0,-35.0,-30.0,-41.0,-16.0,,57.0,,,
-25.0,-48.0,-22.0,-10.0,-15.0,19.0,7.0,31.0,25.0,37.0
-31.0,-34.0,-29.0,-34.0,-6.0,,,,,
,,,-38.0,,,,,,
,,,-29.0,,,91.0,,,
-23.0,-25.0,-9.0,-10.0,-14.0,9.0,6.0,21.0,21.0,25.0
-33.0,-34.0,-30.0,,-6.0,,87.0,,,
-28.0,-30.0,-24.0,-11.0,-7.0,16.0,7.0,32.0,20.0,37.0
-33.0,-35.0,-30.0,,-6.0,,83.0,,,
