ECG_P_Peaks,ECG_P_Onsets,ECG_P_Offsets,ECG_Q_Peaks,ECG_R_Onsets,ECG_R_Offsets,ECG_S_Peaks,ECG_T_Peaks,ECG_T_Onsets,ECG_T_Offsets
-26,-28,-20,-3,-5,7,8,67,64,69
-32,-34,-29,-4,-8,5,5,66,65,71
-33,-37,-31,-5,-8,13,9,64,58,70
-41,-46,-39,-11,-6,0,6,66,63,71
-65,-67,-59,-3,-7,6,10,61,57,66
-33,-36,-29,-6,-14,5,4,63,59,66
-32,-34,-26,-6,-5,8,13,56,55,61
-25,-27,-21,-3,-7,8,13,63,58,67
-32,-37,-29,-5,-9,5,5,17,9,19
-32,-36,-29,-4,-8,5,5,67,63,72
-45,-48,-42,-3,-7,3,3,57,54,59
-36,-40,-34,-2,-7,4,5,25,21,28
-62,-65,-58,-3,-5,18,10,63,58,65
-27,-29,-24,-4,-10,7,7,63,58,67
-59,-62,-56,-5,-8,3,4,63,58,65
-24,-27,-21,-2,-6,6,3,73,70,77
-37,-40,-33,-3,-5,4,3,54,50,58
-34,-37,-25,-7,-11,6,7,65,62,68
-36,-38,-33,-2,-6,7,2,69,65,71
-40,-41,-37,-19,-9,9,16,17,15,21
-35,-40,-32,-5,-9,6,6,63,59,69
-60,-63,-58,-2,-6,7,7,17,12,24
-35,-37,-31,-5,-8,6,3,64,61,65
-38,-40,-35,-6,-10,5,5,63,61,66
-35,-39,-33,-3,-7,5,3,60,54,62
-50,-55,-46,-3,-6,6,5,20,19,25
-56,-59,-53,-6,-9,2,3,63,61,66
-35,-38,-30,-5,-7,20,11,63,58,81
-32,-35,-22,-6,-13,5,5,69,67,73
-34,-40,-25,-5,-9,5,13,65,63,77
-29,-31,-26,-3,-7,20,13,63,56,69
-31,-41,-25,-6,-11,5,5,66,59,72
-35,-43,-31,-5,-9,9,8,63,61,67
-39,-44,-36,-7,-17,6,3,48,45,57
-34,-41,-32,-6,-8,7,5,64,59,67
-32,-35,-24,-5,-8,7,12,67,64,68
-38,-41,-36,-2,-5,6,2,69,65,74
-34,-38,-31,-4,-6,5,4,30,26,35
-49,-51,-43,-22,-10,10,14,21,14,29
-39,-44,-35,-2,-6,3,7,21,18,24
-30,-33,-27,-3,-8,10,7,54,49,58
-38,-41,-34,-3,-8,4,52,67,63,71
-41,-46,-36,-7,-5,13,10,67,59,73
-32,-39,-23,-5,-8,6,5,67,59,70
-56,-71,-53,-4,-9,19,9,63,59,82
-34,-41,-33,-6,-10,7,5,68,64,70
-36,-40,-33,-4,-9,7,6,19,12,21
-34,-40,-33,-5,-9,8,8,23,19,28
-36,-41,-33,-5,-9,6,5,65,63,73
-35,-41,-32,-6,-9,6,5,67,52,83
-36,-39,-25,-5,-10,6,6,62,54,67
-52,-53,-50,-7,-10,15,11,65,62,79
-36,-51,-22,-15,-5,10,7,64,52,71
-33,-38,-30,-5,-12,7,5,69,66,73
-68,-71,-64,-6,-10,20,11,65,59,85
-35,-41,-32,-8,-11,7,6,24,18,29
-36,-43,-34,-7,-11,6,5,62,52,69
-32,-35,-30,-5,-9,17,12,66,57,85
-30,-34,-23,-4,-10,7,6,68,49,70
-39,-42,-33,-12,-6,10,6,65,63,69
-63,-66,-60,-2,-5,9,12,64,59,70
-55,-58,-52,-6,-9,18,9,62,60,65
-68,-75,-64,-3,-7,6,4,68,61,72
