ECG_P_Peaks,ECG_P_Onsets,ECG_P_Offsets,ECG_Q_Peaks,ECG_R_Onsets,ECG_R_Offsets,ECG_S_Peaks,ECG_T_Peaks,ECG_T_Onsets,ECG_T_Offsets
-32,-34,-27,-5,-9,8.0,7,19.0,15.0,21.0
-21,-25,-18,-11,-10,8.0,7,16.0,14.0,19.0
-23,-27,-17,-5,-9,8.0,6,37.0,33.0,39.0
-33,-35,-27,-8,-7,,7,,,
-21,-22,-18,-4,-7,7.0,6,44.0,38.0,46.0
-20,-25,-17,-6,-5,4.0,8,24.0,22.0,28.0
-22,-24,-20,-15,-9,3.0,8,24.0,23.0,26.0
-38,-44,-33,-5,-10,11.0,8,19.0,16.0,20.0
-32,-33,-30,-9,-8,11.0,8,21.0,21.0,24.0
-30,-31,-25,-4,-7,10.0,7,29.0,27.0,31.0
-39,-42,-37,-6,-10,8.0,7,19.0,16.0,22.0
-29,-31,-25,-7,-9,8.0,7,32.0,29.0,33.0
-32,-33,-29,-3,-3,4.0,3,28.0,22.0,32.0
-30,-32,-24,-6,-9,10.0,8,17.0,15.0,22.0
-21,-23,-19,-5,-7,8.0,7,17.0,15.0,19.0
-27,-29,-26,-2,-7,4.0,4,40.0,36.0,43.0
-32,-33,-28,-6,-9,10.0,8,21.0,19.0,23.0
-20,-22,-18,-6,-9,8.0,7,19.0,16.0,21.0
-36,-37,-32,-2,-5,2.0,8,26.0,24.0,28.0
-32,-34,-27,-5,-3,9.0,7,22.0,19.0,24.0
-35,-37,-33,-5,-8,10.0,7,49.0,45.0,51.0
-36,-38,-28,-5,-10,9.0,7,16.0,16.0,20.0
-38,-39,-36,-9,-7,8.0,7,26.0,23.0,27.0
-21,-23,-20,-6,-6,10.0,8,18.0,12.0,21.0
-28,-29,-23,-13,-8,4.0,9,20.0,17.0,23.0
-23,-25,-19,-6,-6,9.0,7,24.0,23.0,26.0
-19,-22,-18,-8,-8,,7,,,
-31,-33,-29,-4,-7,9.0,8,20.0,17.0,24.0
-21,-24,-18,-8,-5,2.0,14,31.0,29.0,33.0
-27,-28,-25,-5,-8,10.0,8,25.0,23.0,27.0
-32,-35,-30,-6,-9,2.0,6,28.0,27.0,31.0
-34,-35,-32,-5,-9,9.0,8,49.0,45.0,51.0
-20,-23,-18,-6,-5,8.0,7,16.0,13.0,20.0
-40,-44,-38,-5,-2,,26,,,
-21,-23,-19,-5,-8,10.0,7,46.0,44.0,47.0
-35,-39,-32,-6,-9,9.0,8,17.0,12.0,21.0
-33,-35,-28,-6,-11,7.0,13,42.0,41.0,44.0
-32,-34,-27,-5,-8,9.0,7,23.0,21.0,26.0
-38,-40,-33,-4,-8,8.0,8,37.0,34.0,39.0
-33,-35,-31,-5,-5,6.0,9,17.0,14.0,19.0
-21,-23,-19,-4,-6,8.0,8,20.0,17.0,24.0
-21,-23,-19,-7,-6,8.0,7,18.0,16.0,21.0
-22,-25,-20,-6,-10,2.0,7,47.0,46.0,50.0
-37,-40,-35,-6,-9,3.0,10,19.0,15.0,23.0
-29,-32,-25,-8,-7,9.0,8,49.0,47.0,50.0
-37,-38,-34,-5,-8,9.0,7,29.0,27.0,31.0
-33,-34,-31,-5,-10,7.0,24,19.0,17.0,23.0
-25,-27,-22,-5,-3,11.0,7,16.0,13.0,19.0
-21,-23,-19,-8,-7,,7,,,
-18,-21,-17,-5,-9,9.0,7,32.0,31.0,36.0
-23,-26,-20,-5,-8,9.0,8,20.0,17.0,23.0
-23,-25,-20,-5,-8,10.0,8,17.0,15.0,18.0
-18,-20,-14,-5,-8,8.0,7,27.0,25.0,29.0
-23,-26,-22,-4,-9,6.0,10,16.0,14.0,18.0
-36,-39,-33,-5,-7,10.0,8,20.0,16.0,22.0
-37,-40,-34,-6,-6,10.0,8,47.0,42.0,50.0
-20,-21,-18,-4,-8,7.0,6,24.0,22.0,26.0
-19,-21,-18,-4,-8,4.0,8,20.0,18.0,23.0
-24,-27,-22,-5,-8,10.0,7,28.0,26.0,29.0
-38,-42,-33,-5,-8,8.0,7,44.0,41.0,46.0
-39,-43,-37,-5,-5,7.0,3,21.0,17.0,26.0
-21,-23,-19,-5,-9,9.0,7,16.0,11.0,19.0
-40,-44,-37,-4,-7,8.0,7,17.0,10.0,19.0
-26,-29,-24,-6,-12,2.0,6,46.0,45.0,49.0
-35,-38,-31,-4,-6,5.0,8,49.0,47.0,51.0
-37,-38,-35,-6,-9,12.0,8,18.0,17.0,20.0
-33,-35,-30,-5,-3,7.0,27,18.0,17.0,21.0
-28,-31,-25,-4,-8,2.0,7,48.0,46.0,51.0
-32,-35,-29,-5,-13,9.0,7,17.0,15.0,21.0
-32,-34,-27,-6,-10,10.0,7,35.0,33.0,37.0
-21,-24,-20,-6,-6,10.0,7,47.0,45.0,49.0
-20,-22,-18,-3,-6,7.0,3,33.0,30.0,35.0
-30,-33,-27,-8,-10,7.0,10,34.0,30.0,37.0
-20,-23,-18,-7,-5,10.0,8,20.0,18.0,20.0
-37,-39,-34,-6,-10,9.0,7,19.0,16.0,22.0
-38,-40,-35,-5,-10,8.0,21,40.0,36.0,43.0
-20,-23,-17,-5,-8,11.0,7,49.0,47.0,51.0
-38,-41,-34,-8,-11,8.0,7,47.0,44.0,48.0
-18,-21,-17,-4,-2,5.0,15,40.0,37.0,42.0
-37,-41,-35,-5,-9,10.0,8,17.0,15.0,20.0
-26,-28,-24,-2,-5,2.0,9,18.0,16.0,21.0
-23,-26,-21,-5,-9,11.0,8,22.0,19.0,25.0
-37,-38,-34,-6,-9,9.0,7,48.0,47.0,51.0
-37,-40,-35,-6,-2,8.0,6,22.0,20.0,24.0
-24,-25,-22,-8,-2,9.0,14,18.0,16.0,20.0
-30,-32,-26,-5,-7,12.0,7,45.0,42.0,46.0
-25,-30,-22,-3,-9,4.0,3,35.0,33.0,37.0
-38,-40,-37,-7,-6,10.0,7,42.0,40.0,44.0
-31,-32,-27,-11,-8,9.0,11,17.0,15.0,19.0
-22,-24,-20,-3,-6,5.0,9,32.0,29.0,35.0
-30,-33,-28,-10,-8,8.0,7,46.0,44.0,49.0
-30,-32,-27,-6,-5,10.0,7,18.0,15.0,22.0
-36,-40,-33,-5,-9,3.0,7,16.0,14.0,19.0
-20,-22,-18,-9,-8,8.0,7,19.0,17.0,21.0
-29,-30,-26,-7,-6,9.0,8,20.0,18.0,22.0
-22,-26,-20,-9,-7,12.0,11,18.0,17.0,21.0
-20,-22,-19,-6,-11,,8,,,
-21,-23,-20,-6,-9,3.0,7,22.0,18.0,24.0
-30,-32,-27,-7,-9,10.0,7,25.0,24.0,27.0
-26,-28,-23,-5,-12,4.0,20,42.0,40.0,43.0
-33,-36,-31,-5,-7,9.0,8,44.0,40.0,46.0
-30,-32,-28,-7,-7,8.0,7,48.0,44.0,50.0
-32,-34,-29,-6,-1,7.0,6,45.0,43.0,47.0
-29,-31,-26,-4,-8,10.0,8,16.0,12.0,19.0
-29,-30,-27,-5,-8,12.0,8,44.0,40.0,46.0
-25,-28,-23,-5,-5,4.0,9,39.0,37.0,41.0
-28,-30,-25,-5,-10,10.0,8,47.0,43.0,51.0
-39,-41,-37,-4,-7,10.0,7,47.0,43.0,49.0
-37,-40,-35,-6,-3,6.0,9,34.0,32.0,36.0
-20,-22,-19,-6,-9,9.0,7,33.0,29.0,35.0
-39,-41,-37,-8,-7,9.0,7,48.0,46.0,51.0
-24,-25,-21,-5,-3,4.0,3,41.0,39.0,44.0
-32,-35,-30,-3,-7,2.0,6,31.0,30.0,33.0
-32,-34,-27,-5,-4,8.0,6,19.0,16.0,23.0
-37,-40,-33,-11,-8,10.0,7,22.0,20.0,25.0
-38,-40,-34,-5,-8,6.0,9,44.0,43.0,47.0
-27,-29,-25,-4,-7,5.0,9,24.0,23.0,26.0
-38,-41,-33,-5,-8,12.0,8,18.0,17.0,21.0
-24,-25,-22,-6,-9,8.0,7,33.0,31.0,36.0
-23,-25,-20,-6,-3,5.0,7,47.0,45.0,49.0
-31,-35,-27,-6,-9,9.0,8,44.0,42.0,47.0
-34,-36,-31,-3,-6,9.0,7,38.0,35.0,42.0
-33,-36,-28,-4,-7,7.0,19,28.0,25.0,33.0
-21,-22,-18,-5,-7,,7,,,
-21,-23,-19,-5,-8,9.0,8,19.0,18.0,21.0
-22,-25,-20,-5,-8,7.0,11,16.0,15.0,18.0
-31,-33,-27,-5,-8,12.0,6,28.0,25.0,31.0
-24,-26,-21,-6,-5,9.0,7,31.0,27.0,34.0
-34,-36,-28,-5,-8,6.0,24,48.0,44.0,54.0
-37,-37,-34,-4,-9,11.0,8,46.0,43.0,48.0
-19,-21,-18,-4,-6,9.0,8,27.0,25.0,29.0
-23,-27,-21,-5,-9,,19,,,
-30,-31,-26,-5,-8,12.0,7,31.0,28.0,33.0
-38,-40,-33,-4,-7,9.0,8,31.0,29.0,33.0
-27,-29,-25,-5,-2,10.0,24,47.0,44.0,50.0
-27,-29,-25,-4,-7,14.0,8,49.0,47.0,51.0
-36,-37,-33,-4,-6,8.0,7,46.0,43.0,50.0
-35,-37,-33,-5,-7,8.0,29,19.0,18.0,22.0
-30,-31,-27,-7,-10,4.0,8,46.0,44.0,48.0
-32,-34,-31,-5,-9,9.0,7,21.0,19.0,24.0
-22,-24,-21,-6,-10,7.0,10,19.0,16.0,22.0
