ECG_P_Peaks,ECG_P_Onsets,ECG_P_Offsets,ECG_Q_Peaks,ECG_R_Onsets,ECG_R_Offsets,ECG_S_Peaks,ECG_T_Peaks,ECG_T_Onsets,ECG_T_Offsets
-23,-25,-18,-8,-10,9,7,48,43,51
-27,-32,-23,-12,-10,11,7,48,46,53
-24,-25,-22,-3,-8,5,2,58,54,63
-48,-51,-45,-3,-6,4,3,38,33,43
-25,-27,-23,-15,-6,11,8,47,45,49
-24,-27,-20,-8,-4,5,5,34,32,37
-45,-48,-40,-2,-5,5,4,33,27,37
-25,-28,-24,-8,-3,5,4,49,47,52
-19,-21,-17,-3,-6,2,5,24,21,29
-31,-33,-30,-6,-4,6,8,44,40,47
-31,-33,-25,-6,-5,10,8,30,28,32
-35,-37,-33,-6,-3,11,5,45,43,47
-25,-27,-22,-7,-5,14,7,44,42,46
-20,-22,-16,-8,-12,5,5,42,40,45
-27,-29,-23,-8,-5,8,5,42,40,45
-24,-27,-20,-13,-3,10,5,44,42,49
-22,-24,-19,-9,-14,8,5,44,40,46
-32,-35,-30,-12,-2,4,2,30,28,32
-23,-25,-18,-13,-3,9,6,20,18,22
-29,-31,-27,-9,-8,6,5,38,36,42
-34,-35,-31,-10,-7,9,5,49,48,53
-23,-26,-20,-10,-3,10,7,44,41,47
-30,-32,-27,-7,-5,9,6,46,42,49
-24,-29,-21,-7,-9,8,6,48,46,51
-38,-42,-35,-7,-5,10,7,41,39,43
-22,-25,-20,-8,-10,10,6,45,42,47
-24,-26,-23,-5,-8,12,6,46,42,49
-26,-28,-24,-8,-11,10,7,46,43,48
-24,-26,-21,-7,-9,11,5,44,41,46
-23,-25,-20,-15,-9,9,6,46,43,49
-24,-26,-20,-10,-8,10,6,48,47,52
-23,-24,-21,-9,-7,9,7,47,46,50
-28,-30,-26,-8,-5,6,5,48,46,52
-27,-31,-25,-7,-10,10,5,50,49,59
-28,-30,-27,-8,-6,9,6,48,45,54
-25,-27,-22,-17,-2,16,9,51,50,53
-24,-29,-20,-11,-6,5,7,21,17,24
-22,-24,-15,-11,-9,10,5,49,47,61
-27,-29,-24,-8,-5,10,7,51,47,56
-23,-25,-20,-6,-8,6,7,49,46,51
-24,-26,-19,-8,-10,9,5,46,40,47
-36,-39,-32,-9,-4,10,4,37,34,40
-34,-40,-32,-7,-5,7,5,45,40,48
-29,-30,-27,-7,-5,9,5,49,48,53
-24,-27,-22,-8,-6,2,5,46,42,49
-48,-49,-45,-6,-3,7,2,58,55,61
-23,-25,-21,-8,-6,7,4,39,36,42
-22,-25,-18,-11,-7,6,4,44,41,46
-35,-38,-32,-2,-3,6,5,42,40,45
-24,-27,-21,-9,-5,7,5,44,42,47
-30,-32,-28,-3,-5,8,6,46,42,48
-25,-28,-23,-2,-7,4,3,31,25,36
-20,-22,-17,-4,-6,2,8,47,43,49
-19,-21,-16,-2,-3,3,10,46,44,49
-47,-50,-44,-3,-4,5,2,19,17,24
-24,-26,-22,-3,-5,4,2,37,31,42
-31,-34,-27,-4,-7,5,3,20,18,23
-28,-30,-25,-7,-4,8,5,48,45,50
-38,-40,-34,-10,-3,7,5,44,42,47
-35,-38,-32,-3,-5,10,7,23,22,25
-28,-30,-25,-2,-4,4,10,37,35,40
-26,-28,-23,-6,-8,2,7,49,47,52
-25,-27,-23,-9,-7,6,4,49,37,52
-20,-23,-16,-5,-3,6,5,49,47,51
-24,-25,-22,-7,-3,8,6,16,15,20
-21,-25,-18,-6,-2,5,9,49,47,53
-20,-22,-17,-7,-4,10,8,26,25,31
-26,-31,-24,-9,-3,4,3,51,49,55
-23,-25,-19,-8,-9,7,5,39,37,42
-27,-29,-26,-8,-10,10,5,48,46,50
-23,-27,-21,-7,-4,5,9,36,34,40
-33,-36,-28,-8,-5,10,6,49,47,51
-24,-27,-21,-4,-6,4,2,41,37,46
-33,-35,-30,-7,-5,13,7,46,42,48
-22,-24,-20,-5,-3,3,6,48,45,50
-24,-28,-21,-7,-5,8,6,23,21,26
-25,-28,-23,-5,-2,8,5,52,49,56
-30,-33,-27,-5,-7,7,6,52,48,54
-25,-28,-24,-3,-4,6,5,45,43,49
-33,-37,-30,-5,-2,4,8,35,33,38
-34,-38,-25,-6,-4,6,3,26,24,28
-29,-31,-26,-7,-2,9,5,44,41,47
-29,-31,-26,-8,-3,9,6,35,33,38
-28,-31,-25,-4,-7,3,9,51,49,55
-22,-26,-20,-7,-9,10,6,29,27,32
-30,-32,-28,-7,-8,5,7,53,52,56
-23,-26,-21,-8,-4,9,7,48,45,52
-24,-27,-22,-4,-5,11,6,46,43,49
-29,-32,-27,-7,-3,6,8,28,26,31
-25,-27,-23,-3,-4,2,6,52,48,55
-21,-25,-13,-5,-7,5,3,46,44,49
-24,-29,-22,-7,-4,7,5,22,19,23
-21,-24,-19,-3,-5,3,6,40,39,43
-20,-22,-18,-7,-5,9,7,46,44,49
-22,-26,-20,-7,-10,9,7,34,30,36
-25,-27,-20,-2,-6,7,4,21,18,24
-35,-38,-33,-11,-7,10,6,50,46,51
-31,-33,-29,-15,-6,9,7,50,46,56
-26,-29,-24,-12,-5,11,5,52,50,55
-31,-33,-29,-8,-5,5,7,56,55,59
-39,-43,-35,-8,-6,5,3,36,34,39
-35,-37,-31,-8,-4,8,6,46,43,48
-36,-38,-32,-7,-2,7,5,49,45,53
-49,-51,-47,-7,-8,6,8,54,51,59
-33,-35,-32,-2,-6,3,9,53,47,60
-32,-34,-30,-7,-9,11,6,46,41,49
-26,-29,-23,-16,-5,3,7,26,24,28
