ECG_P_Peaks,ECG_P_Onsets,ECG_P_Offsets,ECG_Q_Peaks,ECG_R_Onsets,ECG_R_Offsets,ECG_S_Peaks,ECG_T_Peaks,ECG_T_Onsets,ECG_T_Offsets
-38,-43,-35,-7,-12,12.0,10,24.0,20.0,32.0
-40,-46,-37,-7,-12,12.0,11,22.0,17.0,29.0
-38,-43,-36,-7,-13,13.0,10,24.0,19.0,31.0
-38,-42,-37,-7,-19,13.0,8,34.0,30.0,42.0
-47,-52,-40,-27,-11,10.0,7,62.0,58.0,69.0
-41,-49,-38,-7,-11,12.0,10,22.0,18.0,30.0
-65,-70,-58,-6,-11,13.0,8,43.0,39.0,50.0
-58,-63,-52,-6,-11,12.0,8,55.0,50.0,61.0
-37,-45,-34,-7,-11,13.0,8,26.0,23.0,34.0
-34,-41,-31,-7,-12,12.0,8,30.0,26.0,37.0
-34,-41,-31,-7,-12,13.0,8,30.0,25.0,37.0
-36,-41,-33,-7,-11,19.0,7,28.0,24.0,35.0
-34,-39,-31,-7,-11,13.0,8,30.0,26.0,38.0
-36,-44,-33,-7,-12,13.0,7,27.0,22.0,34.0
-36,-41,-33,-7,-12,13.0,7,26.0,22.0,34.0
-32,-37,-29,-7,-12,12.0,8,31.0,27.0,39.0
-36,-43,-33,-7,-12,13.0,8,18.0,15.0,21.0
-31,-38,-28,-7,-11,13.0,8,32.0,29.0,39.0
-43,-46,-41,-7,-16,13.0,8,37.0,33.0,44.0
-31,-36,-28,-7,-11,13.0,8,32.0,27.0,40.0
-35,-40,-32,-7,-12,13.0,7,28.0,23.0,35.0
-28,-34,-25,-7,-18,13.0,8,35.0,30.0,42.0
-31,-37,-28,-7,-12,13.0,8,33.0,30.0,40.0
-47,-52,-41,-26,-12,13.0,11,62.0,57.0,68.0
-41,-47,-34,-19,-11,12.0,10,70.0,66.0,78.0
-52,-57,-46,-26,-10,12.0,11,56.0,50.0,62.0
-43,-49,-40,-7,-11,12.0,30,19.0,17.0,27.0
-36,-43,-33,-6,-11,13.0,8,27.0,23.0,34.0
-52,-57,-45,-31,-11,12.0,8,57.0,53.0,64.0
-51,-56,-44,-31,-14,12.0,11,59.0,55.0,66.0
-39,-44,-36,-7,-14,14.0,8,23.0,19.0,31.0
-41,-48,-38,-7,-11,12.0,8,21.0,18.0,29.0
-44,-48,-37,-26,-11,8.0,26,64.0,60.0,72.0
-51,-57,-44,-24,-10,13.0,8,16.0,10.0,21.0
-41,-49,-38,-7,-10,13.0,8,22.0,19.0,30.0
-35,-42,-32,-7,-13,13.0,11,27.0,23.0,35.0
-38,-43,-34,-7,-11,14.0,10,25.0,20.0,32.0
-36,-43,-33,-7,-13,13.0,10,27.0,24.0,34.0
-46,-51,-45,-6,-10,13.0,8,32.0,28.0,38.0
-35,-41,-32,-7,-11,14.0,8,28.0,24.0,35.0
-39,-44,-36,-7,-10,13.0,8,23.0,19.0,31.0
-43,-48,-40,-7,-11,12.0,30,19.0,16.0,27.0
-37,-42,-33,-7,-11,13.0,8,27.0,23.0,34.0
-44,-48,-37,-21,-10,12.0,8,67.0,61.0,76.0
-45,-50,-39,-27,-10,9.0,7,63.0,60.0,71.0
-54,-60,-47,-34,-10,13.0,8,55.0,50.0,61.0
-41,-48,-38,-10,-13,12.0,31,21.0,18.0,29.0
-34,-40,-31,-7,-11,13.0,8,29.0,25.0,37.0
-41,-49,-38,-7,-11,13.0,10,22.0,19.0,30.0
-48,-55,-46,-6,-17,13.0,8,37.0,32.0,44.0
-43,-50,-41,-7,-11,13.0,8,19.0,17.0,27.0
-40,-49,-39,-7,-11,13.0,8,32.0,28.0,39.0
-40,-49,-39,-7,-10,13.0,8,33.0,29.0,41.0
-35,-40,-32,-6,-10,13.0,8,29.0,25.0,37.0
-43,-46,-42,-6,-12,13.0,8,42.0,38.0,48.0
-49,-54,-43,-29,-11,13.0,10,61.0,56.0,67.0
-47,-54,-44,-18,-10,14.0,26,72.0,68.0,80.0
-36,-44,-33,-7,-11,16.0,11,27.0,23.0,34.0
-38,-43,-35,-7,-12,14.0,8,17.0,11.0,20.0
-34,-42,-31,-7,-11,13.0,8,29.0,26.0,36.0
-26,-32,-24,-7,-16,13.0,8,37.0,32.0,44.0
-43,-50,-40,-8,-11,12.0,31,20.0,17.0,28.0
-41,-45,-37,-7,-10,13.0,7,23.0,19.0,30.0
-44,-49,-37,-25,-9,10.0,26,65.0,60.0,72.0
-38,-47,-36,-7,-12,14.0,8,17.0,10.0,20.0
-34,-41,-31,-7,-13,14.0,8,29.0,25.0,36.0
-42,-48,-39,-12,-9,12.0,30,20.0,16.0,28.0
-36,-41,-32,-7,-12,13.0,7,27.0,22.0,35.0
-37,-43,-34,-7,-10,15.0,8,26.0,22.0,33.0
-36,-43,-34,-7,-10,14.0,8,27.0,23.0,34.0
-36,-41,-33,-7,-12,,7,,,
