ECG_P_Peaks,ECG_P_Onsets,ECG_P_Offsets,ECG_Q_Peaks,ECG_R_Onsets,ECG_R_Offsets,ECG_S_Peaks,ECG_T_Peaks,ECG_T_Onsets,ECG_T_Offsets
-33,-35,-30,-15,-10,10.0,28,24.0,14.0,28.0
-38,-41,-32,-7,-12,14.0,18,30.0,26.0,34.0
-34,-36,-32,-7,-10,9.0,18,71.0,69.0,81.0
-37,-40,-33,-8,-11,9.0,41,70.0,66.0,77.0
-48,-50,-45,-7,-10,11.0,17,70.0,66.0,82.0
-27,-30,-24,-8,-12,10.0,41,64.0,58.0,71.0
-27,-30,-26,-9,-11,5.0,11,72.0,68.0,76.0
-35,-38,-33,-6,-9,9.0,12,70.0,66.0,72.0
-22,-24,-19,-10,-12,12.0,16,23.0,19.0,29.0
-38,-41,-36,-6,-9,10.0,9,31.0,29.0,34.0
-33,-35,-29,-7,-10,11.0,18,23.0,18.0,28.0
-46,-48,-43,-7,-11,16.0,30,72.0,69.0,81.0
-37,-41,-34,-16,-12,11.0,36,65.0,63.0,69.0
-26,-34,-22,-7,-10,12.0,32,69.0,63.0,75.0
-31,-35,-28,-13,-10,15.0,20,63.0,58.0,70.0
-33,-35,-29,-7,-11,14.0,18,25.0,19.0,33.0
-38,-41,-35,-8,-11,10.0,14,25.0,24.0,31.0
-51,-54,-46,-29,-16,,50,,,
-32,-35,-30,-19,-10,,15,,,
-31,-33,-26,-18,-11,10.0,17,26.0,19.0,30.0
-34,-36,-32,-9,-12,9.0,15,67.0,62.0,68.0
-31,-34,-26,-34,-10,13.0,43,64.0,62.0,69.0
-34,-38,-30,-55,-12,15.0,19,61.0,57.0,76.0
-32,-34,-28,-27,-15,12.0,15,60.0,53.0,64.0
-29,-32,-27,-63,-12,12.0,33,58.0,55.0,64.0
-32,-36,-29,-8,-12,15.0,18,62.0,44.0,67.0
-32,-34,-29,-14,-9,11.0,29,60.0,53.0,65.0
-32,-36,-29,-17,-9,,25,,,
-38,-41,-35,-7,-11,15.0,29,67.0,62.0,73.0
-46,-48,-42,-20,-6,,38,,,
-34,-37,-30,-52,-11,11.0,47,69.0,64.0,71.0
-29,-32,-26,-7,-10,11.0,22,71.0,65.0,79.0
-39,-42,-36,-19,-12,,35,,,
-38,-43,-34,-9,-12,,23,,,
-31,-34,-28,-27,-12,,27,,,
-35,-39,-32,-13,-10,18.0,16,73.0,70.0,76.0
-28,-31,-26,-17,-9,14.0,31,72.0,68.0,77.0
-30,-35,-27,-18,-12,18.0,32,68.0,64.0,76.0
-29,-32,-26,-22,-9,16.0,19,63.0,59.0,69.0
-31,-34,-26,-8,-11,16.0,13,59.0,51.0,65.0
-28,-30,-25,-44,-12,13.0,17,57.0,54.0,64.0
-30,-34,-28,-7,-10,12.0,23,69.0,67.0,75.0
-28,-36,-25,-10,-8,8.0,16,67.0,64.0,84.0
-39,-42,-35,-7,-10,12.0,35,66.0,55.0,78.0
-30,-33,-26,-8,-11,,8,,,
-33,-35,-31,-8,-11,11.0,41,19.0,15.0,23.0
-31,-34,-27,-7,-9,12.0,29,74.0,61.0,76.0
-24,-26,-21,-7,-10,18.0,14,25.0,22.0,29.0
-31,-33,-28,-15,-11,,29,,,
-30,-34,-28,-11,-8,16.0,20,72.0,69.0,79.0
