ECG_P_Peaks,ECG_P_Onsets,ECG_P_Offsets,ECG_Q_Peaks,ECG_R_Onsets,ECG_R_Offsets,ECG_S_Peaks,ECG_T_Peaks,ECG_T_Onsets,ECG_T_Offsets
-43,-44,-37,-11,-16,19.0,55.0,35.0,33.0,37.0
-49,-59,-44,-10,-15,16.0,57.0,38.0,34.0,41.0
-43,-44,-36,-11,-16,9.0,60.0,33.0,25.0,37.0
-43,-44,-36,-11,-16,19.0,56.0,76.0,63.0,80.0
-49,-59,-44,-10,-16,21.0,58.0,78.0,58.0,91.0
-37,-57,-24,-6,-11,33.0,17.0,76.0,49.0,104.0
-48,-58,-42,-12,-17,8.0,65.0,33.0,24.0,40.0
-43,-44,-37,-11,-16,16.0,61.0,77.0,64.0,87.0
-50,-59,-45,-11,-16,24.0,59.0,76.0,61.0,79.0
-43,-44,-36,-11,-16,9.0,58.0,38.0,32.0,41.0
-42,-44,-37,-11,-16,20.0,63.0,77.0,76.0,80.0
-27,-28,-24,-6,-11,30.0,20.0,76.0,57.0,107.0
-48,-57,-43,-11,-16,8.0,63.0,81.0,78.0,83.0
-51,-59,-48,-12,-16,16.0,62.0,28.0,26.0,31.0
-49,-58,-44,-11,-16,18.0,63.0,39.0,36.0,57.0
-49,-59,-44,-10,-16,20.0,61.0,36.0,32.0,37.0
-49,-59,-44,-11,-16,9.0,63.0,34.0,29.0,36.0
-48,-58,-44,-11,-17,9.0,63.0,32.0,29.0,34.0
-49,-59,-45,-11,-16,23.0,63.0,79.0,62.0,86.0
-30,-47,-22,-5,-11,6.0,17.0,77.0,55.0,106.0
-47,-52,-43,-11,-16,8.0,62.0,33.0,29.0,37.0
-42,-44,-37,-11,-16,15.0,,36.0,32.0,37.0
-42,-43,-36,-11,-16,25.0,60.0,42.0,38.0,54.0
-49,-58,-45,-10,-16,22.0,62.0,38.0,33.0,47.0
-50,-59,-44,-11,-16,9.0,64.0,32.0,28.0,36.0
-44,-59,-39,-5,-14,8.0,18.0,77.0,49.0,103.0
-48,-58,-44,-11,-16,3.0,63.0,42.0,37.0,45.0
-43,-45,-36,-11,-16,9.0,58.0,40.0,37.0,43.0
-50,-59,-46,-11,-16,18.0,60.0,32.0,26.0,34.0
-51,-57,-31,-12,-15,9.0,,26.0,23.0,30.0
-48,-59,-44,-10,-15,17.0,57.0,40.0,35.0,41.0
-36,-52,-34,-5,-11,9.0,18.0,77.0,53.0,105.0
-49,-58,-32,-11,-16,9.0,66.0,39.0,35.0,45.0
-50,-53,-36,-11,-18,26.0,64.0,76.0,66.0,83.0
-43,-44,-36,-11,-16,27.0,62.0,36.0,33.0,44.0
-50,-59,-27,-11,-16,9.0,60.0,32.0,29.0,34.0
-49,-58,-43,-11,-16,19.0,59.0,31.0,26.0,35.0
-28,-48,-25,-6,-11,4.0,16.0,78.0,56.0,107.0
-48,-57,-42,-11,-16,8.0,65.0,84.0,82.0,90.0
-42,-44,-36,-11,-16,9.0,63.0,41.0,40.0,48.0
-43,-44,-36,-11,-16,9.0,61.0,35.0,32.0,38.0
-48,-58,-32,-10,-16,9.0,66.0,32.0,28.0,37.0
-43,-43,-36,-11,-16,9.0,59.0,38.0,33.0,43.0
-49,-59,-34,-11,-16,20.0,58.0,81.0,79.0,86.0
-50,-59,-45,-12,-16,9.0,60.0,79.0,77.0,89.0
-53,-55,-46,-4,-10,56.0,18.0,77.0,57.0,108.0
-46,-58,-42,-11,-16,,66.0,,,
-43,-44,-37,-11,-16,19.0,60.0,80.0,77.0,88.0
-50,-59,-44,-11,-16,4.0,60.0,35.0,33.0,40.0
-42,-43,-36,-11,-16,22.0,62.0,37.0,35.0,39.0
-50,-59,-44,-11,-16,17.0,63.0,81.0,61.0,85.0
-43,-44,-36,-10,-16,10.0,62.0,79.0,78.0,83.0
-38,-40,-36,-8,-11,6.0,22.0,80.0,52.0,111.0
-41,-43,-36,-11,-15,,63.0,,,
-50,-59,-44,-11,-16,9.0,63.0,78.0,76.0,85.0
-49,-52,-36,-11,-16,18.0,61.0,77.0,66.0,82.0
-41,-43,-39,-6,-11,9.0,20.0,78.0,43.0,106.0
-41,-43,-35,-11,-15,,63.0,,,
-49,-57,-34,-11,-15,18.0,63.0,38.0,33.0,42.0
-42,-44,-35,-12,-16,18.0,,31.0,25.0,38.0
-42,-44,-35,-10,-15,,61.0,,,
-43,-44,-37,-11,-16,21.0,58.0,78.0,69.0,81.0
-35,-48,-31,-5,-11,35.0,18.0,77.0,52.0,108.0
-49,-52,-43,-11,-16,9.0,63.0,33.0,26.0,37.0
-49,-59,-44,-11,-15,17.0,61.0,34.0,25.0,38.0
-49,-58,-43,-10,-15,27.0,62.0,82.0,80.0,87.0
-43,-43,-36,-11,-14,21.0,61.0,79.0,72.0,83.0
-50,-55,-44,-11,-15,18.0,60.0,41.0,36.0,48.0
-25,-43,-17,-5,-10,5.0,17.0,78.0,56.0,106.0
-47,-57,-42,-10,-15,9.0,64.0,84.0,80.0,87.0
-49,-53,-48,-10,-14,10.0,59.0,30.0,27.0,33.0
-48,-57,-43,-11,-15,20.0,61.0,35.0,28.0,39.0
-48,-58,-43,-10,-14,23.0,59.0,85.0,81.0,90.0
-42,-44,-37,-11,-15,9.0,66.0,77.0,65.0,83.0
-43,-45,-40,-5,-11,17.0,20.0,77.0,55.0,106.0
-40,-41,-33,-11,-15,,63.0,,,
